id,barcode,name,brand,description,category_path,price_cents,image_url,image_thumbnail_url,metadata,source,last_fetched_at,fetch_count,created_at,updated_at
s-zag16qn0,050000812325,Nonfat Dry milk,Carnation,,{},,https://images.openfoodfacts.org/images/products/005/000/081/2325/front_en.9.400.jpg,https://images.openfoodfacts.org/images/products/005/000/081/2325/front_en.9.200.jpg,"{""images"": {""front"": ""https://images.openfoodfacts.org/images/products/005/000/081/2325/front_en.9.400.jpg"", ""nutrition"": ""https://images.openfoodfacts.org/images/products/005/000/081/2325/nutrition_en.11.400.jpg"", ""small_front"": ""https://images.openfoodfacts.org/images/products/005/000/081/2325/front_en.9.200.jpg"", ""thumb_front"": ""https://images.openfoodfacts.org/images/products/005/000/081/2325/front_en.9.100.jpg""}, ""traces"": """", ""barcode"": ""0050000812325"", ""allergens"": """", ""countries"": ""en:United States"", ""created_t"": 1748180582, ""nutrition"": {""grade"": ""unknown"", ""per_100g"": {""fat"": 0, ""iron"": 0, ""salt"": 1.03, ""fiber"": 0, ""sodium"": 0.413, ""sugars"": 52.2, ""calcium"": 1.22, ""proteins"": 34.8, ""trans_fat"": 0, ""vitamin_a"": 0.000739, ""vitamin_d"": 0.0000126, ""energy_kcal"": 348, ""carbohydrates"": 52.2, ""saturated_fat"": 0}, ""servingSize"": ""0.25 cup (23 g)"", ""servingQuantity"": ""23""}, ""ingredients"": ""NONFAT MILK, VITAMIN A PALMITATE, VITAMIN D3."", ""traces_tags"": [], ""completeness"": 0.475, ""environmental"": {""ecoscore_grade"": ""unknown"", ""packaging_materials"": []}, ""additives_tags"": [], ""allergens_tags"": [""en:milk""], ""last_modified_t"": 1759171217, ""ingredients_tags"": [""en:skimmed-milk"", ""en:dairy"", ""en:milk"", ""en:retinyl-palmitate"", ""en:vitamins"", ""en:vitamin-a"", ""en:cholecalciferol"", ""en:vitamin-d""], ""ingredients_analysis"": {""vegan"": false, ""vegetarian"": false, ""palm_oil_free"": true}}",open_food_facts,2025-12-09 20:05:46.714,8,2025-12-09 16:08:24.001,2025-12-09 16:08:23.985
s-o4vp3hc9,041000022906,Italian sides creamy garlic shells,"Unilever, Knorr",Italian sides creamy garlic shells,{Food},,,,"{""upc"": ""041000022906"", ""images"": [], ""pricing"": {""msrp"": ""0.00""}, ""manufacturer"": """", ""specifications"": {}}",upc_database,2025-12-09 20:25:17.256,1,2025-12-09 20:25:17.258,2025-12-09 20:25:17.256
s-dxmmh4or,06827465,Pure Life,Nestlé,Pure Life,{Food},,,,"{""upc"": ""06827465"", ""images"": [], ""pricing"": {""msrp"": ""0.00""}, ""manufacturer"": """", ""specifications"": {}}",upc_database,2025-12-09 20:33:04.67,1,2025-12-09 20:33:04.681,2025-12-09 20:33:04.67
s-4c75lgq0,01364008,TOMATO KETCHUP,HEINZ,,"{en:condiments,en:sauces,en:tomato-sauces}",,https://images.openfoodfacts.org/images/products/000/000/136/4008/front_en.69.400.jpg,https://images.openfoodfacts.org/images/products/000/000/136/4008/front_en.69.200.jpg,"{""images"": {""front"": ""https://images.openfoodfacts.org/images/products/000/000/136/4008/front_en.69.400.jpg"", ""nutrition"": ""https://images.openfoodfacts.org/images/products/000/000/136/4008/nutrition_en.71.400.jpg"", ""ingredients"": ""https://images.openfoodfacts.org/images/products/000/000/136/4008/ingredients_en.9.400.jpg"", ""small_front"": ""https://images.openfoodfacts.org/images/products/000/000/136/4008/front_en.69.200.jpg"", ""thumb_front"": ""https://images.openfoodfacts.org/images/products/000/000/136/4008/front_en.69.100.jpg""}, ""labels"": ""No gluten"", ""stores"": ""7eleven"", ""traces"": """", ""barcode"": ""01364008"", ""origins"": """", ""quantity"": ""567 g"", ""allergens"": """", ""countries"": ""Lebanon,United States"", ""created_t"": 1421617890, ""nutrition"": {""grade"": ""e"", ""per_100g"": {""fat"": 0, ""iron"": 0, ""salt"": 2.65, ""fiber"": 0, ""sodium"": 1.06, ""sugars"": 23.5, ""proteins"": 0, ""trans_fat"": 0, ""vitamin_a"": 0, ""vitamin_c"": 0, ""energy_kcal"": 118, ""carbohydrates"": 29.4, ""saturated_fat"": 0}, ""servingSize"": ""1 thsp (17 g)"", ""servingQuantity"": 17}, ""packaging"": ""Bottle"", ""nova_group"": 4, ""ingredients"": ""tomato concentrate from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring,"", ""labels_tags"": [""en:no-gluten""], ""stores_tags"": [""7eleven""], ""traces_tags"": [], ""completeness"": 0.8875, ""environmental"": {""ecoscore_grade"": ""a"", ""ecoscore_score"": 79, ""packaging_materials"": []}, ""additives_tags"": [], ""allergens_tags"": [], ""last_modified_t"": 1765220424, ""purchase_places"": ""Chicago,Illinois,USA"", ""ingredients_tags"": [""en:tomato-concentrate-from-red-ripe-tomatoes"", ""en:distilled-vinegar"", ""en:vinegar"", ""en:high-fructose-corn-syrup"", ""en:added-sugar"", ""en:disaccharide"", ""en:monosaccharide"", ""en:syrup"", ""en:fructose"", ""en:glucose"", ""en:corn-syrup"", ""en:glucose-fructose-syrup"", ""en:salt"", ""en:spice"", ""en:condiment"", ""en:onion"", ""en:vegetable"", ""en:root-vegetable"", ""en:onion-family-vegetable"", ""en:natural-flavouring"", ""en:flavouring""], ""ingredients_analysis"": {""vegan"": false, ""vegetarian"": false, ""palm_oil_free"": true}, ""manufacturing_places"": """"}",open_food_facts,2025-12-09 20:38:32.083,9,2025-12-09 07:08:12.103,2025-12-09 07:08:12.1
s-g45x2g49,050000010110,Evaporated Milk,Neatle Carnation,Evaporated Milk,{Food},,,,"{""upc"": ""050000010110"", ""images"": [], ""pricing"": {""msrp"": ""0.00""}, ""manufacturer"": """", ""specifications"": {}}",upc_database,2025-12-09 20:46:39.524,1,2025-12-09 20:46:39.53,2025-12-09 20:46:39.524
s-12nxo9bp,016000189546,Multi Grain Cheerios,Cheerios,Multi Grain Cheerios,{Food},,,,"{""upc"": ""016000189546"", ""images"": [], ""pricing"": {""msrp"": null}, ""manufacturer"": null, ""specifications"": {}}",upc_database,2025-12-09 20:47:44.537,1,2025-12-09 20:47:44.543,2025-12-09 20:47:44.537
s-f9llo3he,052100050027,Vegetable seasoning,Mccormick,Vegetable seasoning,{Food},,,,"{""upc"": ""052100050027"", ""images"": [], ""pricing"": {""msrp"": null}, ""manufacturer"": null, ""specifications"": {}}",upc_database,2025-12-09 20:48:39.589,1,2025-12-09 20:48:39.594,2025-12-09 20:48:39.589
s-v9dus5sn,011110123169,honey,smart way,,"{en:breakfasts,en:spreads,en:sweet-spreads}",,https://images.openfoodfacts.org/images/products/001/111/012/3169/front_en.10.400.jpg,https://images.openfoodfacts.org/images/products/001/111/012/3169/front_en.10.200.jpg,"{""images"": {""front"": ""https://images.openfoodfacts.org/images/products/001/111/012/3169/front_en.10.400.jpg"", ""nutrition"": ""https://images.openfoodfacts.org/images/products/001/111/012/3169/nutrition_en.12.400.jpg"", ""small_front"": ""https://images.openfoodfacts.org/images/products/001/111/012/3169/front_en.10.200.jpg"", ""thumb_front"": ""https://images.openfoodfacts.org/images/products/001/111/012/3169/front_en.10.100.jpg""}, ""stores"": ""Kroger"", ""traces"": """", ""barcode"": ""0011110123169"", ""allergens"": """", ""countries"": ""en:United States"", ""created_t"": 1713474897, ""nutrition"": {""grade"": ""unknown"", ""per_100g"": {""fat"": 0, ""iron"": 0, ""sugars"": 81, ""proteins"": 0, ""vitamin_a"": 0, ""vitamin_c"": 0, ""vitamin_d"": 0, ""energy_kcal"": 286, ""carbohydrates"": 81}, ""servingSize"": ""1.0 tbsp (21.0 g)"", ""servingQuantity"": 21}, ""nova_group"": 2, ""ingredients"": ""honey"", ""stores_tags"": [""kroger""], ""traces_tags"": [], ""completeness"": 0.575, ""environmental"": {""ecoscore_grade"": ""b"", ""ecoscore_score"": 72, ""packaging_materials"": []}, ""additives_tags"": [], ""allergens_tags"": [], ""last_modified_t"": 1762908983, ""ingredients_tags"": [""en:honey"", ""en:added-sugar""], ""ingredients_analysis"": {""vegan"": false, ""vegetarian"": true, ""palm_oil_free"": true}}",open_food_facts,2025-12-09 23:15:18.139,8,2025-12-09 20:52:12.381,2025-12-09 20:52:12.375
s-xnh50p07,033200011408,Baking soda,Arm & Hammer,Baking soda,{Food},,,,"{""upc"": ""033200011408"", ""images"": [], ""pricing"": {""msrp"": ""0.00""}, ""manufacturer"": """", ""specifications"": {}}",upc_database,2025-12-09 23:32:15.83,2,2025-12-09 20:35:19.673,2025-12-09 20:35:19.669
s-g1vbrix7,070404001163,Robust olive oil,"Pompeian,  Pompeian  Inc.",Robust olive oil,{Food},,,,"{""upc"": ""070404001163"", ""images"": [], ""pricing"": {""msrp"": ""0.00""}, ""manufacturer"": """", ""specifications"": {}}",upc_database,2025-12-10 11:31:27.766,2,2025-12-09 20:51:25.727,2025-12-09 20:51:25.723
