id,tenantId,name,slug,parentId,googleCategoryId,isActive,sortOrder,createdAt,updatedAt
scid-tid-042hi7ju-fu4jv9,tid-042hi7ju,"Oats, Grits amp; Hot Cereal",oats-grits-amp-hot-cereal,,4690,t,0,2026-01-08 01:11:52.525,2026-01-08 01:11:52.524
scid-tid-m8ijkrnk-rpah0y,tid-m8ijkrnk,Live Animals,live-animals,,3237,t,0,2026-01-31 01:11:07.132,2026-01-31 01:11:07.128
tid-a3813d7i_dairy-eggs,tid-a3813d7i,Dairy & Eggs,dairy-eggs,,543554,t,0,2026-02-28 01:23:03.212,2026-02-28 01:23:03.211
tid-a3813d7i_produce,tid-a3813d7i,Produce,produce,,503759,t,1,2026-02-28 01:23:03.417,2026-02-28 01:23:03.416
tid-r6cccpag_living-room,tid-r6cccpag,Living Room,living-room,,6348,t,0,2025-12-23 22:57:57.022,2025-12-23 22:57:57.02
tid-r6cccpag_bedroom,tid-r6cccpag,Bedroom,bedroom,,4437,t,1,2025-12-23 22:57:57.439,2025-12-23 22:57:57.436
tid-r6cccpag_office-furniture,tid-r6cccpag,Office Furniture,office-furniture,,6521,t,2,2025-12-23 22:57:57.836,2025-12-23 22:57:57.835
tid-r6cccpag_outdoor-furniture,tid-r6cccpag,Outdoor Furniture,outdoor-furniture,,6828,t,3,2025-12-23 22:57:58.262,2025-12-23 22:57:58.256
tid-r6cccpag_storage-furniture,tid-r6cccpag,Storage Furniture,storage-furniture,,6358,t,4,2025-12-23 22:57:58.653,2025-12-23 22:57:58.651
tid-m8ijkrnk_hand-tools,tid-m8ijkrnk,Hand Tools,hand-tools,,6965,t,0,2025-12-30 05:51:17.379,2025-12-30 05:51:17.378
tid-m8ijkrnk_power-tools,tid-m8ijkrnk,Power Tools,power-tools,,2629,t,1,2025-12-30 05:51:17.713,2025-12-30 05:51:17.712
tid-m8ijkrnk_fasteners-hardware,tid-m8ijkrnk,Fasteners & Hardware,fasteners-hardware,,6145,t,2,2025-12-30 05:51:18.037,2025-12-30 05:51:18.037
tid-m8ijkrnk_paint-supplies,tid-m8ijkrnk,Paint & Supplies,paint-supplies,,328062,t,3,2025-12-30 05:51:18.361,2025-12-30 05:51:18.361
tid-m8ijkrnk_electrical,tid-m8ijkrnk,Electrical,electrical,,499932,t,4,2025-12-30 05:51:18.684,2025-12-30 05:51:18.683
tid-a3813d7i_meat-seafood,tid-a3813d7i,Meat & Seafood,meat-seafood,,5813,t,2,2026-02-28 01:23:03.606,2026-02-28 01:23:03.605
tid-a3813d7i_bakery,tid-a3813d7i,Bakery,bakery,,5904,t,3,2026-02-28 01:23:03.788,2026-02-28 01:23:03.787
tid-a3813d7i_frozen-foods,tid-a3813d7i,Frozen Foods,frozen-foods,,499991,t,4,2026-02-28 01:23:03.967,2026-02-28 01:23:03.966
tid-a3813d7i_beverages,tid-a3813d7i,Beverages,beverages,,5887,t,5,2026-02-28 01:23:04.146,2026-02-28 01:23:04.145
tid-a3813d7i_snacks,tid-a3813d7i,Snacks,snacks,,2392,t,6,2026-02-28 01:23:04.329,2026-02-28 01:23:04.328
