id,refresh_started_at,refresh_completed_at,refresh_duration_ms,status,error_message,records_affected,trigger_source
760,2025-12-14 08:20:17.277048+00,2025-12-14 08:20:17.277048+00,0,completed,,4,inventory_items
8,2025-12-08 17:09:52.388613+00,2025-12-08 17:09:52.388613+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
9,2025-12-08 17:09:52.636837+00,2025-12-08 17:09:52.636837+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
10,2025-12-08 17:09:52.813058+00,2025-12-08 17:09:52.813058+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
11,2025-12-08 17:09:53.005681+00,2025-12-08 17:09:53.005681+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
12,2025-12-08 17:09:53.198028+00,2025-12-08 17:09:53.198028+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
13,2025-12-08 17:38:01.903347+00,2025-12-08 17:38:01.903347+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
14,2025-12-08 17:38:02.122668+00,2025-12-08 17:38:02.122668+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
15,2025-12-08 17:38:02.311399+00,2025-12-08 17:38:02.311399+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
16,2025-12-08 17:38:02.502096+00,2025-12-08 17:38:02.502096+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
17,2025-12-08 17:38:02.690502+00,2025-12-08 17:38:02.690502+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
18,2025-12-08 17:40:13.621544+00,2025-12-08 17:40:13.621544+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
19,2025-12-08 17:40:13.813922+00,2025-12-08 17:40:13.813922+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
20,2025-12-08 17:40:13.998282+00,2025-12-08 17:40:13.998282+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
21,2025-12-08 17:40:14.186242+00,2025-12-08 17:40:14.186242+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
22,2025-12-08 17:40:14.408045+00,2025-12-08 17:40:14.408045+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
23,2025-12-08 17:40:32.647365+00,2025-12-08 17:40:32.647365+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
24,2025-12-08 17:41:00.874965+00,2025-12-08 17:41:00.874965+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
25,2025-12-08 17:41:18.281425+00,2025-12-08 17:41:18.281425+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
26,2025-12-08 17:41:34.810826+00,2025-12-08 17:41:34.810826+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
27,2025-12-08 17:41:54.336166+00,2025-12-08 17:41:54.336166+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
28,2025-12-08 17:42:52.98426+00,2025-12-08 17:42:52.98426+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
29,2025-12-08 17:42:52.983152+00,2025-12-08 17:42:52.983152+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
30,2025-12-08 17:42:53.019008+00,2025-12-08 17:42:53.019008+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
31,2025-12-08 17:42:53.022459+00,2025-12-08 17:42:53.022459+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
32,2025-12-08 17:42:53.165874+00,2025-12-08 17:42:53.165874+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
33,2025-12-08 17:42:53.247229+00,2025-12-08 17:42:53.247229+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
34,2025-12-08 17:42:53.378243+00,2025-12-08 17:42:53.378243+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
35,2025-12-08 17:42:53.383849+00,2025-12-08 17:42:53.383849+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
36,2025-12-08 17:42:53.415027+00,2025-12-08 17:42:53.415027+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
37,2025-12-08 17:42:53.529358+00,2025-12-08 17:42:53.529358+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
38,2025-12-08 17:43:43.298423+00,2025-12-08 17:43:43.298423+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,directory_settings
39,2025-12-08 17:43:43.298423+00,2025-12-08 17:43:43.298423+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,directory_settings
40,2025-12-08 17:45:37.784221+00,2025-12-08 17:45:37.784221+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,directory_settings
41,2025-12-08 17:45:37.784221+00,2025-12-08 17:45:37.784221+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,directory_settings
42,2025-12-08 17:56:24.128365+00,2025-12-08 17:56:24.128365+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,directory_settings
43,2025-12-08 17:56:24.128365+00,2025-12-08 17:56:24.128365+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,directory_settings
44,2025-12-08 18:19:15.160371+00,2025-12-08 18:19:15.160371+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
45,2025-12-08 18:19:15.160371+00,2025-12-08 18:19:15.160371+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
46,2025-12-08 20:19:04.477089+00,2025-12-08 20:19:04.477089+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
47,2025-12-08 20:19:30.026237+00,2025-12-08 20:19:30.026237+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
48,2025-12-08 20:20:18.437852+00,2025-12-08 20:20:18.437852+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
49,2025-12-08 20:22:50.312739+00,2025-12-08 20:22:50.312739+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
50,2025-12-08 20:23:28.762942+00,2025-12-08 20:23:28.762942+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
51,2025-12-08 20:23:45.816594+00,2025-12-08 20:23:45.816594+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
52,2025-12-08 20:23:59.767439+00,2025-12-08 20:23:59.767439+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
53,2025-12-08 20:24:14.07987+00,2025-12-08 20:24:14.07987+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
54,2025-12-08 20:24:31.479478+00,2025-12-08 20:24:31.479478+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
55,2025-12-08 20:28:05.059613+00,2025-12-08 20:28:05.059613+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
58,2025-12-08 22:21:21.891866+00,2025-12-08 22:21:21.891866+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
56,2025-12-08 20:28:18.670434+00,2025-12-08 20:28:18.670434+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
880,2025-12-18 15:16:17.282701+00,2025-12-18 15:16:17.282701+00,0,completed,,4,inventory_items
57,2025-12-08 20:28:37.59237+00,2025-12-08 20:28:37.59237+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
59,2025-12-08 22:21:22.282302+00,2025-12-08 22:21:22.282302+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
60,2025-12-08 22:21:22.614505+00,2025-12-08 22:21:22.614505+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
61,2025-12-08 22:21:22.948165+00,2025-12-08 22:21:22.948165+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
62,2025-12-08 22:21:23.279906+00,2025-12-08 22:21:23.279906+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
63,2025-12-08 22:21:23.614492+00,2025-12-08 22:21:23.614492+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
64,2025-12-08 22:21:23.947438+00,2025-12-08 22:21:23.947438+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
65,2025-12-08 22:21:24.279145+00,2025-12-08 22:21:24.279145+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
66,2025-12-08 22:21:24.611838+00,2025-12-08 22:21:24.611838+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
67,2025-12-08 22:21:24.944549+00,2025-12-08 22:21:24.944549+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
68,2025-12-08 22:21:25.275749+00,2025-12-08 22:21:25.275749+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
69,2025-12-08 22:21:25.608145+00,2025-12-08 22:21:25.608145+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
70,2025-12-08 22:21:25.938034+00,2025-12-08 22:21:25.938034+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
71,2025-12-08 22:21:26.270041+00,2025-12-08 22:21:26.270041+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
72,2025-12-08 22:21:26.60243+00,2025-12-08 22:21:26.60243+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
73,2025-12-08 22:21:26.932607+00,2025-12-08 22:21:26.932607+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
74,2025-12-08 22:21:27.267491+00,2025-12-08 22:21:27.267491+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
75,2025-12-08 22:21:27.598031+00,2025-12-08 22:21:27.598031+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
76,2025-12-08 22:21:27.928545+00,2025-12-08 22:21:27.928545+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
77,2025-12-08 22:21:28.260602+00,2025-12-08 22:21:28.260602+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
78,2025-12-08 22:21:28.591792+00,2025-12-08 22:21:28.591792+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
79,2025-12-08 22:21:28.922246+00,2025-12-08 22:21:28.922246+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
80,2025-12-08 22:21:29.254822+00,2025-12-08 22:21:29.254822+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
81,2025-12-08 22:21:29.586097+00,2025-12-08 22:21:29.586097+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
82,2025-12-08 22:21:29.916941+00,2025-12-08 22:21:29.916941+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
83,2025-12-08 22:21:48.183171+00,2025-12-08 22:21:48.183171+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
84,2025-12-08 22:22:04.023587+00,2025-12-08 22:22:04.023587+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
85,2025-12-08 22:22:22.262401+00,2025-12-08 22:22:22.262401+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
86,2025-12-08 22:22:42.011886+00,2025-12-08 22:22:42.011886+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
87,2025-12-08 22:23:01.600829+00,2025-12-08 22:23:01.600829+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
88,2025-12-08 22:23:16.210641+00,2025-12-08 22:23:16.210641+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
89,2025-12-08 22:23:34.735463+00,2025-12-08 22:23:34.735463+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
90,2025-12-08 22:23:59.615708+00,2025-12-08 22:23:59.615708+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
91,2025-12-08 22:24:18.291026+00,2025-12-08 22:24:18.291026+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
92,2025-12-08 22:24:36.708155+00,2025-12-08 22:24:36.708155+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
93,2025-12-08 22:24:53.498336+00,2025-12-08 22:24:53.498336+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
94,2025-12-08 22:25:09.779712+00,2025-12-08 22:25:09.779712+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
95,2025-12-08 22:25:30.035401+00,2025-12-08 22:25:30.035401+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
96,2025-12-08 22:25:46.320091+00,2025-12-08 22:25:46.320091+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
97,2025-12-08 22:26:05.246836+00,2025-12-08 22:26:05.246836+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
98,2025-12-08 22:26:25.201575+00,2025-12-08 22:26:25.201575+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
99,2025-12-08 22:26:44.685074+00,2025-12-08 22:26:44.685074+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
100,2025-12-08 22:27:05.144366+00,2025-12-08 22:27:05.144366+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
101,2025-12-08 22:27:21.407327+00,2025-12-08 22:27:21.407327+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
102,2025-12-08 22:27:40.640576+00,2025-12-08 22:27:40.640576+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
103,2025-12-08 22:28:01.725653+00,2025-12-08 22:28:01.725653+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
130,2025-12-09 03:08:24.6055+00,2025-12-09 03:08:24.6055+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,tenants
104,2025-12-08 22:28:19.725158+00,2025-12-08 22:28:19.725158+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
218,2025-12-09 22:52:30.225695+00,2025-12-09 22:52:30.225695+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
105,2025-12-08 22:28:41.207409+00,2025-12-08 22:28:41.207409+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
138,2025-12-09 03:14:58.957829+00,2025-12-09 03:14:58.957829+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
106,2025-12-08 22:29:10.054696+00,2025-12-08 22:29:10.054696+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
227,2025-12-09 23:19:38.794309+00,2025-12-09 23:19:38.794309+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
107,2025-12-08 22:29:26.297145+00,2025-12-08 22:29:26.297145+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
139,2025-12-09 03:14:59.315802+00,2025-12-09 03:14:59.315802+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
108,2025-12-09 02:46:41.89954+00,2025-12-09 02:46:41.89954+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
328,2025-12-11 04:36:20.975999+00,2025-12-11 04:36:20.975999+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
110,2025-12-09 02:47:16.480897+00,2025-12-09 02:47:16.480897+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
148,2025-12-09 03:14:59.782055+00,2025-12-09 03:14:59.782055+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
228,2025-12-09 23:25:07.506291+00,2025-12-09 23:25:07.506291+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
153,2025-12-09 03:15:00.147671+00,2025-12-09 03:15:00.147671+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
246,2025-12-10 02:33:19.88008+00,2025-12-10 02:33:19.88008+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
158,2025-12-09 03:15:00.508619+00,2025-12-09 03:15:00.508619+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
160,2025-12-09 03:15:41.556656+00,2025-12-09 03:15:41.556656+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
161,2025-12-09 03:16:02.340373+00,2025-12-09 03:16:02.340373+00,,failed,"cannot refresh materialized view ""public.directory_category_products"" concurrently",0,inventory_items
