id,tenant_id,date,start_time,end_time,max_orders,is_active,fulfillment_method,created_at,updated_at
slot_1777695380249_99wcmqn4y,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:16:20.251,2026-05-02 04:16:20.251
slot_1777695380249_d86q290ms,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:16:20.251,2026-05-02 04:16:20.251
slot_1777695574913_117as6y82,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:19:34.917,2026-05-02 04:19:34.917
slot_1777695574914_p2m9eazrn,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:19:34.917,2026-05-02 04:19:34.917
slot_1777695875313_ezueg8mi1,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:24:35.315,2026-05-02 04:24:35.315
slot_1777695875313_k2zr7lvjj,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:24:35.315,2026-05-02 04:24:35.315
slot_1777696200636_qqrrimkzv,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:30:00.643,2026-05-02 04:30:00.643
slot_1777696200635_gmfi5v7nm,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:30:00.643,2026-05-02 04:30:00.643
slot_1777696716343_wffnn7tn1,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:38:36.352,2026-05-02 04:38:36.352
slot_1777696716344_v5hyicxkf,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:38:36.353,2026-05-02 04:38:36.353
slot_1777697282476_luv2tmlq9,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:48:02.478,2026-05-02 04:48:02.478
slot_1777697282476_yog9mu92y,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:48:02.478,2026-05-02 04:48:02.478
slot_1777697550274_xcvuigrhu,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:52:30.331,2026-05-02 04:52:30.331
slot_1777697550275_pdozmiz9a,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:52:30.334,2026-05-02 04:52:30.334
slot_1777697801592_2fqjrivec,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 04:56:41.596,2026-05-02 04:56:41.596
slot_1777697801592_kyovpf8qd,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 04:56:41.596,2026-05-02 04:56:41.596
slot-tid-042hi7ju-oq50cdcz,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 05:27:44.836,2026-05-02 05:27:44.836
slot-tid-042hi7ju-nzpzfqzm,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 05:27:44.836,2026-05-02 05:27:44.836
slot-R4KG-e0knr72j,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 05:57:29.121,2026-05-02 05:57:29.121
slot-R4KG-ue6oxpbc,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 05:57:29.121,2026-05-02 05:57:29.121
slot-R4KG-bbbuk0x5,tid-042hi7ju,2026-05-02,09:00:00,09:30:00,4,t,pickup,2026-05-02 06:15:22.652,2026-05-02 06:15:22.652
slot-R4KG-lgrhbe5u,tid-042hi7ju,2026-05-02,10:00:00,10:30:00,4,t,pickup,2026-05-02 06:15:22.652,2026-05-02 06:15:22.652
