listing_id,gbp_category_id,is_primary,created_at,updated_at
tid-8622qs2t,gcid:african-grocery-store,t,2026-03-06 16:25:07.162605+00,2026-03-06 16:25:07.162605+00
tid-8622qs2t,gcid:grocery-store,f,2026-03-06 16:25:07.202624+00,2026-03-06 16:25:07.202624+00
tid-a3813d7i,gcid:african-grocery-store,t,2026-03-24 23:07:59.172511+00,2026-03-24 23:07:59.172511+00
tid-a3813d7i,gcid:grocery-store,f,2026-03-24 23:07:59.234212+00,2026-03-24 23:07:59.234212+00
tid-a3813d7i,gcid:african-goods-store,f,2026-03-24 23:07:59.269087+00,2026-03-24 23:07:59.269087+00
tid-r6cccpag,gcid:grocery-store,t,2026-03-25 08:15:42.483421+00,2026-03-25 08:15:42.483421+00
tid-r6cccpag,gcid:african-grocery-store,f,2026-03-25 08:15:42.551484+00,2026-03-25 08:15:42.551484+00
tid-r6cccpag,gcid:african-goods-store,f,2026-03-25 08:15:42.615548+00,2026-03-25 08:15:42.615548+00
tid-qki0mjdb,gcid:african-grocery-store,t,2026-03-25 16:31:03.451367+00,2026-03-25 16:31:03.451367+00
tid-qki0mjdb,gcid:convenience-store,f,2026-03-25 16:31:03.518996+00,2026-03-25 16:31:03.518996+00
tid-qki0mjdb,gcid:grocery-store,f,2026-03-25 16:31:03.583215+00,2026-03-25 16:31:03.583215+00
tid-fjwr30ib,gcid:african-grocery-store,t,2026-04-01 16:07:07.243518+00,2026-04-01 16:07:07.243518+00
tid-fjwr30ib,gcid:african-goods-store,f,2026-04-01 16:07:07.290609+00,2026-04-01 16:07:07.290609+00
tid-jcvzufq2,gcid:indian-grocery-store,t,2026-04-03 12:48:47.405298+00,2026-04-03 12:48:47.405298+00
tid-jcvzufq2,gcid:convenience-store,f,2026-04-03 12:48:47.444234+00,2026-04-03 12:48:47.444234+00
tid-jcvzufq2,gcid:indian-sweets-shop,f,2026-04-03 12:48:47.479642+00,2026-04-03 12:48:47.479642+00
tid-jcvzufq2,gcid:grocery-store,f,2026-04-03 12:48:47.514305+00,2026-04-03 12:48:47.514305+00
tid-mrsyk3w6,gcid:african-goods-store,t,2026-01-05 13:38:31.916694+00,2026-01-05 13:38:31.916694+00
tid-mrsyk3w6,gcid:grocery-store,f,2026-01-05 13:38:31.95688+00,2026-01-05 13:38:31.95688+00
tid-mrsyk3w6,gcid:african-grocery-store,f,2026-01-05 13:38:31.994097+00,2026-01-05 13:38:31.994097+00
tid-042hi7ju,gcid:grocery_store,t,2026-01-07 14:47:29.567637+00,2026-01-07 14:47:29.567637+00
tid-042hi7ju,gcid:convenience_store,f,2026-01-07 14:47:29.634887+00,2026-01-07 14:47:29.634887+00
tid-m8ijkrnk,gcid:african-grocery-store,t,2026-03-03 10:15:30.420229+00,2026-03-03 10:15:30.420229+00
tid-m8ijkrnk,gcid:african-goods-store,f,2026-03-03 10:15:30.485344+00,2026-03-03 10:15:30.485344+00
tid-m8ijkrnk,gcid:asian-grocery-store,f,2026-03-03 10:15:30.548418+00,2026-03-03 10:15:30.548418+00
tid-m8ijkrnk,gcid:fresh-food-market,f,2026-03-03 10:15:30.611478+00,2026-03-03 10:15:30.611478+00
