id,product_slug,universal_sku,name,brand,category_path,gtin_upc,description,specifications,images,status,source,catalog_metadata,created_at,updated_at
gpc-5cc7c6b3-7bf7-4b91-84d3-94c89decc7a9,"frozen-foods/amy's-kitchen-amy's-cheese-pizza,-single-serve-9f5d53",VS-FRO-AMY-358470,"Amy's Cheese Pizza, Single Serve",Amy's Kitchen,{frozen-foods},,A delicious single-serve cheese pizza made with organic ingredients.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-88vg2mmh/original-1765232803143.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""NQW6-PHYS-SHIP-PUBL-EC8P"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-d7eab472-26c2-430e-92a5-131d3598fa72,"frozen-foods/amy's-kitchen-amy#x27;s-cheese-pizza,-single-serve-906c91",VS-FRO-AMY-CC54A4,"Amy#x27;s Cheese Pizza, Single Serve",Amy's Kitchen,{frozen-foods},,A delicious single-serve cheese pizza made with organic ingredients.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-88vg2mmh/original-1765232803143.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467818"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-e14482c0-c217-4907-9fd3-9827dd5bddb9,bakery/artisan-bakes-sourdough-round-loaf--450g-9488c7,VS-BAK-ART-CA3FD4,Sourdough Round Loaf - 450g,Artisan Bakes,{bakery},,A traditional sourdough loaf with a tangy flavor and crusty exterior.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-w9145o12/original-1765232783760.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467816"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-d270cff3-b393-4aab-90c5-70d987f42f0a,"first-aid/band-aid-band-aid-fabric-strips,-100-count-1d6585",VS-FIR-BAN-11078B,"Band-Aid Fabric Strips, 100 Count",Band-Aid,{first-aid},,"Flexible fabric adhesive bandages for first aid and wound protection of minor wounds, cuts, scrapes, and burns.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-c2r2kf8v/products/sid-10kluea7/original-1766438574841.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""3GYK-PHYS-SHIP-PUBL-YW3X"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-zcp9a56y""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-be175d47-c5c8-4906-b960-025948abcea8,"mens-grooming/baxter-of-california-baxter-of-california-clay-pomade,-2-oz-d98a13",VS-MEN-BAX-E702CF,"Baxter of California Clay Pomade, 2 oz",Baxter of California,{mens-grooming},,"A styling clay that delivers a strong, pliable hold with a matte finish.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-r6pwo9ms/original-1765527147225.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766439434279"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-60803984-fe16-46d5-8c00-5bed2008c6ef,"paint-supplies/behr-behr-premium-plus-ultra-exterior-paint-&-primer-in-one,-satin-finish,-1-gallon-037d0e",VS-PAI-BEH-3DF5CB,"Behr Premium Plus Ultra Exterior Paint & Primer in One, Satin Finish, 1 Gallon",Behr,{paint-supplies},,"A high-quality exterior paint and primer in one, offering superior durability and protection.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-wuxyaovy/original-1766112580310.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530641100"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-7af29221-b613-43c0-a7ab-bb321661d128,"frozen-foods/birds-eye-birds-eye-steamfresh-broccoli-florets,-10.8-oz-3a42c2",VS-FRO-BIR-225153,"Birds Eye Steamfresh Broccoli Florets, 10.8 oz",Birds Eye,{frozen-foods},,"Fresh frozen broccoli florets, perfect for a quick and healthy side.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-4thay43d/original-1765232859130.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467819"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-442e7016-9509-49e6-ae67-f6552c723693,"meat-seafood/blue-ocean-premium-large-white-shrimp,-peeled-and-deveined,-1lb-c9f59b",VS-MEA-BLU-C23B2C,"Premium Large White Shrimp, Peeled and Deveined, 1lb",Blue Ocean,{meat-seafood},,"Convenient, ready-to-cook large white shrimp, peeled and deveined for your ease.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-nhnsbips/original-1765232708225.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467814"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-697be06a-8c5d-4cb1-b523-c2404716e5c9,sewing-fabric/brother-brother-cs7000x-computerized-sewing-and-quilting-machine-36a818,VS-SEW-BRO-C167B0,Brother CS7000X Computerized Sewing and Quilting Machine,Brother,{sewing-fabric},,"An easy-to-use, feature-packed sewing and quilting machine perfect for beginners and experienced crafters.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-9e1blp8r/original-1766440445448.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209118"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-7af9dd87-538b-401f-a2f2-29cb6b8ff0bf,"mens-shirts/calvin-klein-calvin-klein-cotton-stretch-shirt,-size-l-d05711",VS-MEN-CAL-F70E5A,"Calvin Klein Cotton Stretch Shirt, Size L",Calvin Klein,{mens-shirts},,"A sleek, comfortable stretch shirt perfect for any occasion.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ucgs9idl/products/iid-ky96bhtl/original-1765615394842.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1767098488110"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-000d9881-a362-41cb-985f-6a6b9a5e8090,"personal-care/cetaphil-cetaphil-gentle-skin-cleanser,-16-fl-oz-0e016a",VS-PER-CET-C7F489,"Cetaphil Gentle Skin Cleanser, 16 fl oz",Cetaphil,{personal-care},,"A mild, soap-free face and body cleanser that hydrates and soothes skin as it cleans.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ccu0mh28/products/sid-crxq4iol/original-1765714734138.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""3GYK-PHYS-SHIP-PUBL-52EC"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-zcp9a56y""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
