id,category_id,category_path,parent_id,level,is_active,version,created_at,updated_at
gtl_ba7b3e61-6ab1-4528-82e9-e1c1034b5f60,1,Animals & Pet Supplies,,1,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_5158294a-7ce3-4ece-a487-8db5d8942dd6,3237,Animals & Pet Supplies > Live Animals,1,2,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_5ce81236-9a04-42bc-974b-d41fdfdc5701,2,Animals & Pet Supplies > Pet Supplies,1,2,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_cf7fdd88-32c6-4dc8-b50c-96062a9a36e1,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_ffb82a54-ecc5-4186-a434-9caf34d02749,7385,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories,3,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_204044f1-da4e-4b45-8ec6-8b7bc093dd67,499954,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Bird Baths,7385,5,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_145262e0-2bf8-49e7-96e0-e7254a822591,7386,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Food & Water Dishes,7385,5,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_6f007812-d45b-4dc4-bbfd-8ad756fd4254,4989,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cages & Stands,3,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_f517845b-4ce8-4b30-be70-6929a56dbfa6,4990,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food,3,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_3f894601-c735-4a80-ba25-d307b8d7694c,7398,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Gyms & Playstands,3,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_2228b5da-be4d-46ad-a7e0-4b7e1647b603,4991,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Ladders & Perches,3,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_b3797820-d42d-4091-8b09-da8cfadd1eec,4992,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Toys,3,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_1e2072d2-f60f-442f-a274-0dd98a2aa695,4993,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Treats,3,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_f4f9a1af-f28c-4905-a155-92950c6d9ece,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_990c9071-d949-4e33-b672-de767a21ad91,5082,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Apparel,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_503307f9-c7a5-43be-b47e-d34d9f7fdcc9,4433,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_ebf1a51f-26f4-4a72-bee7-e703f877330d,3367,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
