id,tenant_id,sku,name,price_cents,stock,image_url,metadata,created_at,updated_at,marketing_description,image_gallery,custom_cta,social_links,custom_branding,custom_sections,landing_page_theme,audit_log_id,availability,brand,category_path,directory_category_id,condition,currency,description,eligibility_reason,gtin,item_status,location_id,merchant_name,mpn,price,quantity,search_tsv,sync_status,synced_at,title,visibility,manufacturer,source,enrichment_status,enriched_at,enriched_by,enriched_from_barcode,missing_images,missing_description,missing_specs,missing_brand,sale_price_cents,payment_gateway_type,payment_gateway_id,product_type,digital_delivery_method,digital_assets,access_duration_days,download_limit,license_type,has_variants,is_featured,featured_at,featured_until,featured_priority,featured_type,product_slug
sid-ant6co6o,tid-r6cccpag,qsid-1766436467810,"Unsalted Butter, 16 oz",599,67,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-jj3l1lud/original-1765232560457.jpg,null,2025-12-22 20:48:31.399,2025-12-23 23:00:40.659,,{},,,,{},default,,in_stock,Land O'Lakes,{dairy-eggs},tid-r6cccpag_dairy-eggs,brand_new,USD,"A 16 oz block of high-quality, unsalted butter perfect for baking and cooking.",,,active,,,,5.99,,,pending,,"Unsalted Butter, 16 oz",public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766436467810_dairy-eggs_sid-ant6co6o_fd89283d
pid-88ej1gez,tid-042hi7ju,030772094037,Dawn Ultra Dishwashing Liquid 18 FL OZ,499,3,,"{""note"": ""Please update product information manually"", ""barcode"": ""030772094037"", ""enrichedAt"": ""2026-05-03T15:49:53.698Z"", ""scannedFrom"": ""sid-R4KG-ab05g38z"", ""enrichmentSource"": ""fallback""}",2026-05-03 15:49:54.084,2026-05-03 15:52:14.425,,{},,,,{},default,,in_stock,Proctor & Gamble,{liquid-hand-soap},cat-R4KG-i85zmj,brand_new,USD,Dawn Ultra Dishwashing Liquid 18 FL OZ,,,active,,,,4.99,,,pending,,Product 030772094037,private,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,null,,,,f,f,,,0,store_selection,lpc_030772094037_liquid-hand-soap_pid-88ej1gez_a6666d26
sid-1ekcngy9,tid-m8ijkrnk,qsid-1766440209112,"Winsor & Newton Cotman Watercolor Paint Set, 12 x 8ml Tubes",2799,16,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-1ekcngy9/original-1766440328040.jpg,"{""likes"": 1, ""likedBy"": [{""userId"": ""uid-zqe5ns5k"", ""sessionId"": ""session_1767720022412_mn9775cc7"", ""timestamp"": ""2026-01-07T00:28:33.041Z""}], ""features"": [""High pigment load for brilliant color and excellent tinting strength"", ""Easy to mix, allowing for an endless palette of colors"", ""Portable and convenient 8ml tube size, perfect for artists on the go"", ""Made by Winsor & Newton, a trusted brand among artists worldwide"", ""Ideal for both beginners and experienced painters""], ""specifications"": {""size"": ""8ml per tube"", ""type"": ""Watercolor"", ""quantity"": ""12 tubes"", ""color assortment"": ""Mixed""}, ""enhancedDescription"": ""Discover the vibrant, expressive colors of the Winsor & Newton Cotman Watercolor Paint Set, designed to bring your artistic visions to life. This set includes 12 carefully selected, high-quality watercolors in 8ml tubes, offering a broad color spectrum for maximum versatility. The Cotman series, known for its excellent tinting strength and easy-to-mix properties, makes it a favorite among beginners and professionals alike. Whether you're painting landscapes, portraits, or abstract pieces, these watercolors provide consistent, transparent washes and beautiful hues for every masterpiece.""}",2025-12-22 21:51:51.737,2025-12-30 12:46:01.842,,{},,,,{},default,,in_stock,Winsor & Newton,{drawing-painting},tid-m8ijkrnk_drawing-painting,brand_new,USD,"A set of 12 high-quality Cotman watercolor paints in 8ml tubes, perfect for artists of all levels.",,,active,,,,27.99,,,pending,,"Winsor & Newton Cotman Watercolor Paint Set, 12 x 8ml Tubes",public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766440209112_drawing-painting_sid-1ekcngy9_e7680bc1
sid-maq143xg,tid-qki0mjdb,qsid-1766530641098,DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver,9900,95,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,null,2026-03-25 21:27:27.227,2026-03-25 22:47:21.146,,{},null,null,null,{},default,,in_stock,DeWalt,{power-tools},scid-tid-qki0mjdb-88sxwu,brand_new,USD,The DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver is designed to fit into tight areas and provides a high-performance motor that delivers 340 unit watts out (UWO).,,,active,,,,99.00,,,pending,,DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,null,,,,f,t,2026-01-20 04:35:35.707,,50,store_selection,lpc_qsid-1766530641098_power-tools_sid-maq143xg_bf8b93bd
csid-ck61jmi0,tid-mrsyk3w6,SPORTS-YM-XTH,Yoga Mat - Extra Thick,2999,18,,"{""isDemoData"": true, ""cloverItemId"": ""demo_item_016"", ""cloverCategory"": ""Sports & Outdoors"", ""googleCategoryId"": ""185""}",2026-01-10 15:38:15.551,2026-01-10 15:38:15.55,,{},,,,{},default,,in_stock,Demo Brand,"{""Sports & Fitness"",""Sports & Outdoors"",""Fitness Equipment""}",ccid-7hf1tu,brand_new,USD,Non-slip yoga mat with carrying strap,,,active,,,,29.99,,,pending,,Yoga Mat - Extra Thick,public,,CLOVER_DEMO,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_SPORTS-YM-XTH_sports-fitness-sports-outdoors-fitness-equipment_csid-ck61jmi0_47e5a173
sid-06ci6hst,tid-a3813d7i,qsid-1767073877368,Eaton BR 20 Amp Single Pole Circuit Breaker,497,44,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-0cuc4z27/original-1766112602043.jpg,null,2026-03-06 15:19:44.074,2026-03-24 22:29:09.347,,{},,,,{},default,,in_stock,Eaton,{electrical},,brand_new,USD,A reliable single pole circuit breaker designed for residential and commercial applications.,,,trashed,,,,4.97,,,pending,,Eaton BR 20 Amp Single Pole Circuit Breaker,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1767073877368_electrical_sid-06ci6hst_e6a94193
sid-fu5vgmp4,tid-m8ijkrnk,qsid-1767073877368,Eaton BR 20 Amp Single Pole Circuit Breaker,497,44,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-0cuc4z27/original-1766112602043.jpg,null,2025-12-30 05:51:25.18,2025-12-30 12:46:01.817,,{},,,,{},default,,in_stock,Eaton,{electrical},tid-m8ijkrnk_electrical,brand_new,USD,A reliable single pole circuit breaker designed for residential and commercial applications.,,,active,,,,4.97,,,pending,,Eaton BR 20 Amp Single Pole Circuit Breaker,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,staff_pick,lpc_qsid-1767073877368_electrical_sid-fu5vgmp4_e6a94193
sid-9qfk3ep2,tid-mrsyk3w6,qsid-1766834047439,Sourdough Round Loaf - 450g,499,98,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-w9145o12/original-1765232783760.jpg,null,2025-12-27 11:18:07.583,2025-12-27 11:18:58.71,,{},,,,{},default,,in_stock,Artisan Bakes,{bakery},tid-mrsyk3w6_bakery,brand_new,USD,A traditional sourdough loaf with a tangy flavor and crusty exterior.,,,active,,,,4.99,,,pending,,Sourdough Round Loaf - 450g,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766834047439_bakery_sid-9qfk3ep2_5b096342
pid-PZQG-4uwox34z,tid-jcvzufq2,pid-PZQG-b5bml2w8,Purified water,0,0,,"{""upc"": ""068274735295"", ""images"": [], ""pricing"": {""msrp"": null}, ""enrichedAt"": ""2026-05-06T14:18:02.490Z"", ""scannedFrom"": ""session-PZQG-34fkoyrg"", ""manufacturer"": null, ""specifications"": {}, ""enrichmentSource"": ""upc_database""}",2026-05-06 14:18:02.737,2026-05-06 14:18:02.734,,{},,,,{},default,,out_of_stock,Nestlé,{Food},itemcat-PZQG-rpa9fk,brand_new,USD,Purified water,,068274735295,active,,,,0.00,,,pending,,Purified water,private,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,upc_nestl_food_068274735295_76e781d8
sid-zw0vm3cj,tid-qki0mjdb,qsid-1766530676992,Serena Oak Queen Platform Bed,29900,34,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-8pw3ctc0/original-1766530759616.jpg,"{""features"": [""Made from high-quality oak for durability and a natural look."", ""Platform design eliminates the need for a box spring."", ""Easy assembly with clear instructions included."", ""Sleek modern design fits into a variety of bedroom decors."", ""Spacious queen size provides comfortable sleeping space for two adults.""], ""specifications"": {""size"": ""Queen"", ""color"": ""Natural Oak"", ""material"": ""Oak"", ""dimensions"": ""80 x 60 x 12 inches"", ""weightCapacity"": ""500 lbs""}, ""enhancedDescription"": ""Experience the perfect blend of style and function with the Serena Oak Queen Platform Bed by Everwood. Designed with contemporary living in mind, this bed features a minimalist aesthetic that brings a touch of elegance to any bedroom. The high-quality oak construction not only ensures durability but also adds a warm, natural look that complements any decor. The platform design eliminates the need for a box spring, providing a low-profile look while making bed setup simple and straightforward. Whether you're upgrading your bedroom or furnishing a new home, the Serena Oak Queen Platform Bed offers both the style and quality you're looking for.""}",2026-03-25 21:27:26.51,2026-03-25 22:47:02.209,,{},null,null,null,{},default,,in_stock,Everwood,{bedroom},scid-tid-qki0mjdb-oat4q2,brand_new,USD,A sleek and modern queen-sized platform bed crafted from high-quality oak.,,,active,,,,299.00,,,pending,,Serena Oak Queen Platform Bed,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,null,,,,f,t,2026-01-20 04:35:01.307,,50,store_selection,lpc_qsid-1766530676992_bedroom_sid-zw0vm3cj_6e60f168
