id,tenant_id,location_id,sku,event_type,quantity_before,quantity_after,source_event_id,triggered_by,triggered_at,processed_at,status,error_message,metadata
notif-R4KG-3b6ube9h2,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-zt4z3d2un,uid-li9gr,2026-05-02 09:14:39.245,,pending,,{}
notif-R4KG-k3rbq1ueh,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-5pto3xsux,uid-li9gr,2026-05-02 09:14:42.945,,pending,,{}
notif-R4KG-maozzf1bl,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-grc0gb0lq,uid-li9gr,2026-05-02 09:14:47.729,,pending,,{}
notif-R4KG-f6phkjp38,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-o5rwicoq1,uid-li9gr,2026-05-02 09:14:56.99,,pending,,{}
notif-R4KG-g5zheykq0,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-6khb8d3w2,uid-li9gr,2026-05-02 09:24:49.306,,pending,,{}
notif-R4KG-2roveiywq,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-3oc1lmkbb,uid-li9gr,2026-05-02 09:24:53.27,,pending,,{}
notif-R4KG-4xursjyk7,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-nzyd1erq8,uid-li9gr,2026-05-02 09:25:08.155,,pending,,{}
notif-R4KG-0c2om546o,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-2dkl0xyim,uid-li9gr,2026-05-02 09:37:24.636,,pending,,{}
notif-R4KG-801lftxfq,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-u8acbju3r,uid-li9gr,2026-05-02 09:37:27.358,,pending,,{}
notif-R4KG-ljn8kh32f,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-m9oxznf2z,uid-li9gr,2026-05-02 09:37:38.468,,pending,,{}
notif-R4KG-yj0r5lnod,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-iqjxdta28,uid-li9gr,2026-05-02 10:37:38.884,,pending,,{}
notif-R4KG-4ucqbsx28,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-lfuvhqufm,uid-li9gr,2026-05-02 10:37:41.807,,pending,,{}
notif-R4KG-24v661q6e,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-tybcfkzb7,uid-li9gr,2026-05-02 10:37:53.529,,pending,,{}
notif-R4KG-umpep2wyg,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-2l3mtg18x,uid-li9gr,2026-05-02 10:59:50.528,,pending,,{}
notif-R4KG-k2mrdfk3t,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-frc2nnb3s,uid-li9gr,2026-05-02 10:59:53.246,,pending,,{}
notif-R4KG-30mcpcxv5,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-hs9j4orcj,uid-li9gr,2026-05-02 11:00:04.715,,pending,,{}
notif-R4KG-hm2335qx6,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-b2rthl86n,uid-li9gr,2026-05-02 11:03:53.612,,pending,,{}
notif-R4KG-cd9rmgvdw,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-tlc0t6paf,uid-li9gr,2026-05-02 11:03:56.353,,pending,,{}
notif-R4KG-be89by5t3,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-8oyco9yp8,uid-li9gr,2026-05-02 11:04:08.728,,pending,,{}
notif-R4KG-p9o4znln8,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-v6el1bfed,uid-li9gr,2026-05-02 11:06:12.944,,pending,,{}
notif-R4KG-bg0mqsd62,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-ljtbrfpeq,uid-li9gr,2026-05-02 11:06:15.639,,pending,,{}
notif-R4KG-yadv1bfnl,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-7jniv5odk,uid-li9gr,2026-05-02 11:06:19.936,,pending,,{}
notif-R4KG-g1hyox57t,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-g5lutaexg,uid-li9gr,2026-05-02 11:06:32.031,,pending,,{}
notif-R4KG-yk85dfwtx,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-hx6iz4hwk,uid-li9gr,2026-05-02 11:11:34.953,,pending,,{}
notif-R4KG-cpgeimrm0,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-l50e7vl4v,uid-li9gr,2026-05-02 11:11:37.582,,pending,,{}
notif-R4KG-suayszh4z,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-3ykf8e78q,uid-li9gr,2026-05-02 11:11:49.204,,pending,,{}
notif-R4KG-5dcgd6pxd,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-n40oz63ne,uid-li9gr,2026-05-02 11:12:21.233,,pending,,{}
notif-R4KG-8n1q3j0qz,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-wexl0415y,uid-li9gr,2026-05-02 11:12:23.988,,pending,,{}
notif-R4KG-a6kv1vc67,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-eulzjl2c8,uid-li9gr,2026-05-02 11:12:28.25,,pending,,{}
notif-R4KG-25z71o3og,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-ud74ay19t,uid-li9gr,2026-05-02 11:12:40.183,,pending,,{}
notif-R4KG-5que2uoxy,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-ehaxqgks5,uid-li9gr,2026-05-02 11:15:06.087,,pending,,{}
notif-R4KG-llrg5f1e3,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-28i6z5d0i,uid-li9gr,2026-05-02 11:15:08.894,,pending,,{}
notif-R4KG-27ykq1efs,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-661kwt0zo,uid-li9gr,2026-05-02 11:15:13.219,,pending,,{}
notif-R4KG-btvwck2vh,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-0er784z4n,uid-li9gr,2026-05-02 11:15:25.842,,pending,,{}
notif-R4KG-xww1vwklt,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-z5zwyy8xt,uid-li9gr,2026-05-02 11:18:46.532,,pending,,{}
notif-R4KG-4wc01s13g,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-w4m1t2qvs,uid-li9gr,2026-05-02 11:18:49.265,,pending,,{}
notif-R4KG-s27jdtd35,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-agjzcxzq1,uid-li9gr,2026-05-02 11:19:01.383,,pending,,{}
notif-R4KG-unodkaots,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-1du29gm2v,uid-li9gr,2026-05-02 11:19:22.54,,pending,,{}
notif-R4KG-s4483t2q6,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-wu0z2pyib,uid-li9gr,2026-05-02 11:19:25.299,,pending,,{}
