id,tenant_id,source_location_id,target_location_id,sku,quantity,status,initiated_by,initiated_at,approved_by,approved_at,shipped_by,shipped_at,received_by,received_at,cancelled_by,cancelled_at,notes,metadata,tracking_number,estimated_arrival,created_at,updated_at
sched-R4KG-toiomohba,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:10:26.392,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:10:26.392,2026-05-02 09:10:26.392
sched-R4KG-ntioxqkaz,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:10:30.075,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:10:30.075,2026-05-02 09:10:30.075
sched-R4KG-m0h1xali5,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:10:32.975,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:10:32.975,2026-05-02 09:10:32.975
sched-R4KG-5cmusdvjt,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:10:36.015,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:10:36.015,2026-05-02 09:10:36.015
sched-R4KG-nscmbis92,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:10:43.343,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:10:43.343,2026-05-02 09:10:43.343
sched-R4KG-zt4z3d2un,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:14:38.6,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:14:38.6,2026-05-02 09:14:38.6
sched-R4KG-5pto3xsux,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 09:14:42.376,uid-li9gr,2026-05-02 09:14:45.06,,,,,,,Admin approval for test transfer,{},,,2026-05-02 09:14:42.376,2026-05-02 09:14:42.376
sched-R4KG-grc0gb0lq,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 09:14:47.207,uid-li9gr,2026-05-02 09:14:49.673,,,,,,,Admin approval for test transfer,{},,,2026-05-02 09:14:47.207,2026-05-02 09:14:47.207
sched-R4KG-o5rwicoq1,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:14:56.469,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:14:56.469,2026-05-02 09:14:56.469
sched-R4KG-zs8cnlcsl,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:20:23.988,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:20:23.988,2026-05-02 09:20:23.988
