id,label,href,icon,badge,badge_variant,targets,sort_order,is_enabled,is_divider_before,required_permission,required_group,required_role,created_at,updated_at,created_by,metadata
built-in-home,Platform Home,/,home,"",default,"{all,tenant,admin}",0,t,f,"","","",2026-03-22 23:35:14.409355+00,2026-05-05 04:37:15.50411+00,,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0}"
built-in-account,My Account,/settings/account,user,"",default,"{all,tenant}",5,t,f,"","","",2026-03-22 23:35:14.409355+00,2026-05-05 04:37:15.50411+00,,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0}"
custom-1776145918511,My Locations,"",building,"",default,"{tenant,admin,all}",7,t,t,"",IS_TENANT_USER,"",2026-04-14 05:52:14.504+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""tenant-locations""}"
custom-1776158068432,My Organizations,"",building,"",warning,"{tenant,admin}",8,t,t,"",IS_TENANT_USER,"",2026-04-14 09:14:36.351+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""organization-locations""}"
custom-1776274025839,My Storefront,"",globe,"",default,{tenant},9,t,f,"",IS_TENANT_USER,"",2026-04-15 17:36:21.003+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776195589149,Platform Capacity,/settings/admin/tenants,lock,"",default,{admin},10,t,f,"",IS_PLATFORM_ADMIN,"",2026-04-14 20:21:09.286+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776114966134,Preferences,"",palette,"",default,{all},13,t,t,"","","",2026-04-13 21:23:50.851+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
built-in-security,Security & Privacy,/settings/security,shield,"",default,"{all,tenant}",15,t,f,"","","",2026-03-22 23:35:14.409355+00,2026-05-05 04:37:15.50411+00,,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0}"
custom-1776116345419,Appearance,/settings/appearance,"","",default,{all},16,t,f,"","","",2026-04-13 21:39:49.065+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776114966134"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0}"
custom-1776116377904,Language,/settings/language,"","",default,{all},17,t,f,"","","",2026-04-13 21:39:49.141+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776114966134"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0}"
custom-1776119637659,Navigation Control,/settings/admin/navigation,"",Admin,default,{admin},18,t,t,CAN_SUPPORT_PLATFORM,"","",2026-04-13 22:35:28.768+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""built-in-admin"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776120095619,Security,/settings/security,"","",default,{all},19,t,f,CAN_MANAGE_TENANT_SETTINGS,"","",2026-04-13 22:43:47.211+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""built-in-security"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0}"
custom-1776276917946,My Settings,"",admin,"",default,{tenant},55,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 18:48:33.812+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
built-in-admin,Admin Panel,/settings/admin,admin,Admin,warning,{admin},67,t,t,CAN_ADMIN_PLATFORM,IS_PLATFORM_ADMIN,"",2026-03-22 23:35:14.409355+00,2026-05-05 04:37:15.50411+00,,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0}"
custom-1776194976236,Admin Dashboard,/settings/admin,admin,"",default,{admin},2,t,f,"",IS_PLATFORM_ADMIN,"",2026-04-14 19:29:49.595+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
