id,tenantId,inventoryItemId,url,width,height,contentType,bytes,exifRemoved,capturedAt,createdAt,publicUrl,signedUrl,position,alt,caption,variant_id
pha-BXIOYCBG,tid-r6cccpag,sid-ant6co6o,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-jj3l1lud/original-1765232560457.jpg,,,,,f,,2025-12-22 20:48:31.812+00,,,0,,,
pid-tid-veid875z-sid-79aehvva-k2wqbl,tid-veid875z,sid-79aehvva,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5s8vjvxl/original-1766436700970.jpg,1024,1024,image/png,66447,f,,2026-03-26 01:22:13.879+00,,,0,Product image,AI-generated product image,
pid-tid-a3813d7i-sid-2qlw669b-f08lzj,tid-a3813d7i,sid-2qlw669b,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5s8vjvxl/original-1766436700970.jpg,1024,1024,image/png,66447,f,,2026-03-26 01:22:16.713+00,,,0,Product image,AI-generated product image,
pha-EQCZS3YX,tid-r6cccpag,sid-gjytasqu,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-6zmzga7v/original-1765232612974.jpg,,,,,f,,2025-12-22 20:48:33.936+00,,,0,,,
pha-N65K41G4,tid-r6cccpag,sid-1psb0z4c,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-nhnsbips/original-1765232708225.jpg,,,,,f,,2025-12-22 20:48:34.64+00,,,0,,,
pid-tid-8622qs2t-sid-ph30ryab-f8vfie,tid-8622qs2t,sid-ph30ryab,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5s8vjvxl/original-1766436700970.jpg,1024,1024,image/png,66447,f,,2026-03-26 01:22:18.901+00,,,0,Product image,AI-generated product image,
pha-BUA6CWZS,tid-r6cccpag,sid-2m75x8em,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-w9145o12/original-1765232783760.jpg,,,,,f,,2025-12-22 20:48:36.051+00,,,0,,,
pha-I4PR1AW7,tid-r6cccpag,sid-bjnq216e,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-88vg2mmh/original-1765232803143.jpg,,,,,f,,2025-12-22 20:48:37.463+00,,,0,,,
pha-MSGC2I46,tid-r6cccpag,sid-z392us0v,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-4thay43d/original-1765232859130.jpg,,,,,f,,2025-12-22 20:48:38.172+00,,,0,,,
pha-DY02PE2Q,tid-r6cccpag,sid-1kpj9yln,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-jsc25fau/original-1765116034671.jpg,,,,,f,,2025-12-22 20:51:00.217+00,,,0,,,
pha-6ILF0M7M,tid-r6cccpag,sid-rpms4zzx,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-dskuajco/original-1765116053899.jpg,,,,,f,,2025-12-22 20:51:01.262+00,,,0,,,
pha-77RYWL7J,tid-r6cccpag,sid-cfcu45fn,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-wip35pnr/original-1765116071527.jpg,,,,,f,,2025-12-22 20:51:02.304+00,,,0,,,
pha-I5WAN30I,tid-r6cccpag,sid-zbbc37ek,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-6la5jgvm/original-1765116087133.jpg,,,,,f,,2025-12-22 20:51:03.328+00,,,0,,,
pha-YBYM0MKB,tid-r6cccpag,sid-sl2gozt5,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-oa5elf7k/original-1765116104166.jpg,,,,,f,,2025-12-22 20:51:04.351+00,,,0,,,
pid-tid-r6cccpag-sid-m3yv1i2f-ezul3j,tid-r6cccpag,sid-m3yv1i2f,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-m3yv1i2f/original-1766436679322.jpg,1024,1024,image/png,177201,f,,2025-12-22 20:51:21.818+00,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-m3yv1i2f/original-1766436679322.jpg,,0,Product image,AI-generated product image,
pid-tid-r6cccpag-sid-5s8vjvxl-ojkxh7,tid-r6cccpag,sid-5s8vjvxl,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5s8vjvxl/original-1766436700970.jpg,1024,1024,image/png,66447,f,,2025-12-22 20:51:42.04+00,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5s8vjvxl/original-1766436700970.jpg,,0,Product image,AI-generated product image,
pid-tid-r6cccpag-sid-lug2msna-45xr7e,tid-r6cccpag,sid-lug2msna,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,1024,1024,image/png,144492,f,,2025-12-22 20:51:57.31+00,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,,0,Product image,AI-generated product image,
pid-tid-r6cccpag-sid-bklucmod-i1xxxr,tid-r6cccpag,sid-bklucmod,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-bklucmod/original-1766436736926.jpg,1024,1024,image/png,169288,f,,2025-12-22 20:52:17.87+00,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-bklucmod/original-1766436736926.jpg,,0,Product image,AI-generated product image,
pid-tid-r6cccpag-sid-05kwmoez-6fmez7,tid-r6cccpag,sid-05kwmoez,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-05kwmoez/original-1766436751061.jpg,1024,1024,image/png,106133,f,,2025-12-22 20:52:31.979+00,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-05kwmoez/original-1766436751061.jpg,,0,Product image,AI-generated product image,
pha-GBQHKXKM,tid-m8ijkrnk,sid-0f9yej5n,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-q1emw6pv/original-1766112521799.jpg,,,,,f,,2025-12-30 05:51:22.951+00,,,0,,,
pha-4KRVIPST,tid-m8ijkrnk,sid-67u8q4qb,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,,,,,f,,2025-12-30 05:51:23.6+00,,,0,,,
pha-VBH4GR3B,tid-m8ijkrnk,sid-glqiaxzy,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-4i3xryel/original-1766112556911.jpg,,,,,f,,2025-12-30 05:51:24.232+00,,,0,,,
