id,name,slug,description,google_category_id,parent_id,level,icon_emoji,sort_order,is_active,is_featured,created_at,updated_at,gcid
cat_b5a2216b-faf4-4b7a-a24c-1934ab652d2a,Adult Dvd Store,adult-dvd-store,Adult Dvd Store - Business category for adult dvd store,gcid:adult-dvd-store,,0,🏬,20,t,f,2025-12-03 22:12:12.834+00,2026-01-07 19:42:38.274596+00,gcid:adult_dvd_store
cat_c85da89d-bcef-4c98-844d-fa96fd1c3725,Adult Entertainment Store,adult-entertainment-store,Adult Entertainment Store - Business category for adult entertainment store,gcid:adult-entertainment-store,,0,🏬,30,t,f,2025-12-03 22:12:13.09+00,2026-01-07 19:42:38.274596+00,gcid:adult_entertainment_store
cat_a473ffd6-d71a-4016-943d-f399c8069a5d,African Goods Store,african-goods-store,African Goods Store - Business category for african goods store,gcid:african-goods-store,,0,🏬,40,t,f,2025-12-03 22:12:13.352+00,2026-01-07 19:42:38.274596+00,gcid:african_goods_store
cat_6bf73876-d2ae-459a-984b-9faebf26edd1,Air Conditioning Store,air-conditioning-store,Air Conditioning Store - Business category for air conditioning store,gcid:air-conditioning-store,,0,🏬,60,t,f,2025-12-03 22:12:13.59+00,2026-01-07 19:42:38.274596+00,gcid:air_conditioning_store
cat_a0716d17-f609-419f-8f04-87bb3874e4d4,Airbrushing Supply Store,airbrushing-supply-store,Airbrushing Supply Store - Business category for airbrushing supply store,gcid:airbrushing-supply-store,,0,🏬,70,t,f,2025-12-03 22:12:13.802+00,2026-01-07 19:42:38.274596+00,gcid:airbrushing_supply_store
cat_33ce6d2c-015a-41c7-a5df-155d82727096,Aircraft Supply Store,aircraft-supply-store,Aircraft Supply Store - Business category for aircraft supply store,gcid:aircraft-supply-store,,0,🏬,80,t,f,2025-12-03 22:12:14.013+00,2026-01-07 19:42:38.274596+00,gcid:aircraft_supply_store
cat_f2df8103-3a9f-41d2-97db-0b22d52af32f,American Grocery Store,american-grocery-store,American Grocery Store - Business category for american grocery store,gcid:american-grocery-store,,0,🛒,90,t,f,2025-12-03 22:12:14.237+00,2026-01-07 19:42:38.274596+00,gcid:american_grocery_store
cat_e572cf6f-7e11-49d6-ab30-7a3a8c3854d7,Amish Furniture Store,amish-furniture-store,Amish Furniture Store - Business category for amish furniture store,gcid:amish-furniture-store,,0,🏬,100,t,f,2025-12-03 22:12:14.451+00,2026-01-07 19:42:38.274596+00,gcid:amish_furniture_store
cat_be047211-0938-42f8-b634-78c071c4cca6,Antique Furniture Store,antique-furniture-store,Antique Furniture Store - Business category for antique furniture store,gcid:antique-furniture-store,,0,🏬,110,t,f,2025-12-03 22:12:14.675+00,2026-01-07 19:42:38.274596+00,gcid:antique_furniture_store
cat_7e122da7-eaf1-487f-a26a-82da50552764,Antique Store,antique-store,Antique Store - Business category for antique store,gcid:antique-store,,0,🏬,120,t,f,2025-12-03 22:12:14.887+00,2026-01-07 19:42:38.274596+00,gcid:antique_store
cat_fba6c1df-59ee-4d87-9c6a-30b747bc2fe8,Appliance Store,appliance-store,Appliance Store - Business category for appliance store,gcid:appliance-store,,0,🏬,130,t,f,2025-12-03 22:12:15.103+00,2026-01-07 19:42:38.274596+00,gcid:appliance_store
cat_de800af2-4bce-4337-a908-0138d5cf941a,Archery Store,archery-store,Archery Store - Business category for archery store,gcid:archery-store,,0,🏬,140,t,f,2025-12-03 22:12:15.314+00,2026-01-07 19:42:38.274596+00,gcid:archery_store
cat_736683eb-866e-441a-bb8f-c6c9a8a56125,Architectural Salvage Store,architectural-salvage-store,Architectural Salvage Store - Business category for architectural salvage store,gcid:architectural-salvage-store,,0,🏬,150,t,f,2025-12-03 22:12:15.533+00,2026-01-07 19:42:38.274596+00,gcid:architectural_salvage_store
cat_e4b5e0d6-1345-433b-af1d-98cec0344800,Army And Navy Store,army-and-navy-store,Army And Navy Store - Business category for army and navy store,gcid:army-and-navy-store,,0,🏬,160,t,f,2025-12-03 22:12:15.74+00,2026-01-07 19:42:38.274596+00,gcid:army_and_navy_store
cat_103063e8-482b-41b5-ab2b-2e3bd6eb0a81,Aromatherapy Supply Store,aromatherapy-supply-store,Aromatherapy Supply Store - Business category for aromatherapy supply store,gcid:aromatherapy-supply-store,,0,🏬,170,t,f,2025-12-03 22:12:15.957+00,2026-01-07 19:42:38.274596+00,gcid:aromatherapy_supply_store
cat_00bb6861-921b-4e4e-838e-c3c81db45619,Art Supply Store,art-supply-store,Art Supply Store - Business category for art supply store,gcid:art-supply-store,,0,🏬,180,t,f,2025-12-03 22:12:16.166+00,2026-01-07 19:42:38.274596+00,gcid:art_supply_store
cat_2a17855c-d66c-4787-bd81-80cb793f9e1c,Asian Grocery Store,asian-grocery-store,Asian Grocery Store - Business category for asian grocery store,gcid:asian-grocery-store,,0,🛒,190,t,f,2025-12-03 22:12:16.39+00,2026-01-07 19:42:38.274596+00,gcid:asian_grocery_store
cat_42dbf32d-9f1c-454f-a054-fc0306dc3367,Asian Household Goods Store,asian-household-goods-store,Asian Household Goods Store - Business category for asian household goods store,gcid:asian-household-goods-store,,0,🏬,200,t,f,2025-12-03 22:12:16.598+00,2026-01-07 19:42:38.274596+00,gcid:asian_household_goods_store
cat_33e667bd-3be0-452b-83bb-abe3e55f603b,Australian Goods Store,australian-goods-store,Australian Goods Store - Business category for australian goods store,gcid:australian-goods-store,,0,🏬,210,t,f,2025-12-03 22:12:16.896+00,2026-01-07 19:42:38.274596+00,gcid:australian_goods_store
cat_88571696-c5dd-4c21-8a31-ffb58dea9d1f,Convenience Store,convenience-store,Convenience Store - Business category for convenience store,gcid:convenience-store,,0,🏬,920,t,f,2025-12-03 22:40:11.215+00,2026-01-07 19:42:38.274596+00,gcid:convenience-store
cat_3ef3d2ef-30df-4198-86b2-38a159a56999,Grocery Store,grocery-store,Grocery Store - Business category for grocery store,gcid:grocery-store,,0,🛒,1670,t,f,2025-12-03 22:13:24.141+00,2026-01-07 19:42:38.274596+00,gcid:grocery-store
cat_c83e3e7e-0e77-4cea-8f0f-ff16df24001a,Health Food Store,health-food-store,Health Food Store - Business category for health food store,gcid:health-food-store,,0,🏬,1710,t,f,2025-12-03 22:40:26.481+00,2026-01-07 19:42:38.274596+00,gcid:health-food-store
cat_656f909e-1911-4ac3-9381-208802e44562,Organic Food Store,organic-food-store,Organic Food Store - Business category for organic food store,gcid:organic-food-store,,0,🏬,2580,t,f,2025-12-03 22:40:41.727+00,2026-01-07 19:42:38.274596+00,gcid:organic-food-store
cat_80cadf64-c24a-4a74-bc05-038900a766cb,Toy Store,toy-store,Toy Store - Business category for toy store,gcid:toy-store,,0,🏬,3600,t,f,2025-12-03 22:41:01.969+00,2026-01-07 19:42:38.274596+00,gcid:toy-store
cat_4c51f360-ab31-47eb-a181-7466e0293ab8,Auto Care Products Store,auto-care-products-store,Auto Care Products Store - Business category for auto care products store,gcid:auto-care-products-store,,0,🏬,220,t,f,2025-12-03 22:12:17.102+00,2026-01-07 19:42:38.274596+00,gcid:auto_care_products_store
cat_df51a7f8-b8b4-4c12-9a3f-f411258296b7,Auto Parts Market,auto-parts-market,Auto Parts Market - Business category for auto parts market,gcid:auto-parts-market,,0,🚗,240,t,f,2025-12-03 22:16:49.609+00,2026-01-07 19:42:38.274596+00,gcid:auto_parts_market
cat_814ed66d-0a89-45cb-9573-9777b52b31b6,Auto Parts Store,auto-parts-store,Auto Parts Store - Business category for auto parts store,gcid:auto-parts-store,,0,🏬,250,t,f,2025-12-03 22:12:17.319+00,2026-01-07 19:42:38.274596+00,gcid:auto_parts_store
cat_c3aad09c-eba4-40bf-82f6-0b1b2507ca8b,Baby Clothing Store,baby-clothing-store,Baby Clothing Store - Business category for baby clothing store,gcid:baby-clothing-store,,0,🏬,260,t,f,2025-12-03 22:12:17.527+00,2026-01-07 19:42:38.274596+00,gcid:baby_clothing_store
cat_7bb5a304-5275-42f2-a2d4-d9c0835ea01e,Baby Store,baby-store,Baby Store - Business category for baby store,gcid:baby-store,,0,🏬,270,t,f,2025-12-03 22:12:17.76+00,2026-01-07 19:42:38.274596+00,gcid:baby_store
cat_4dde819f-e2be-430e-8bf4-ce187b4572f5,Baking Supply Store,baking-supply-store,Baking Supply Store - Business category for baking supply store,gcid:baking-supply-store,,0,🏬,280,t,f,2025-12-03 22:12:17.975+00,2026-01-07 19:42:38.274596+00,gcid:baking_supply_store
cat_cdfcd88c-6ce6-44b7-9fb4-d7e6f66de022,Balloon Store,balloon-store,Balloon Store - Business category for balloon store,gcid:balloon-store,,0,🏬,290,t,f,2025-12-03 22:12:18.195+00,2026-01-07 19:42:38.274596+00,gcid:balloon_store
cat_fc3d770a-a6b1-4049-b2cd-0278110470c3,Banner Store,banner-store,Banner Store - Business category for banner store,gcid:banner-store,,0,🏬,300,t,f,2025-12-03 22:12:18.414+00,2026-01-07 19:42:38.274596+00,gcid:banner_store
cat_17872f17-94d8-4ab3-bce4-899db7e988fc,Bar Restaurant Furniture Store,bar-restaurant-furniture-store,Bar Restaurant Furniture Store - Business category for bar restaurant furniture store,gcid:bar-restaurant-furniture-store,,0,🍽️,310,t,f,2025-12-03 22:12:18.627+00,2026-01-07 19:42:38.274596+00,gcid:bar_restaurant_furniture_store
cat_59a1aab9-af62-4107-a11b-67c7f4a273f4,Barber Supply Store,barber-supply-store,Barber Supply Store - Business category for barber supply store,gcid:barber-supply-store,,0,🍺,320,t,f,2025-12-03 22:12:18.843+00,2026-01-07 19:42:38.274596+00,gcid:barber_supply_store
cat_ee7fb30b-11e2-4083-9f4d-6f3a396c4dae,Baseball Goods Store,baseball-goods-store,Baseball Goods Store - Business category for baseball goods store,gcid:baseball-goods-store,,0,🏬,330,t,f,2025-12-03 22:12:19.074+00,2026-01-07 19:42:38.274596+00,gcid:baseball_goods_store
cat_3e8395ac-e6e5-4a6f-ade7-4aecab8975c4,Bathroom Supply Store,bathroom-supply-store,Bathroom Supply Store - Business category for bathroom supply store,gcid:bathroom-supply-store,,0,🏬,340,t,f,2025-12-03 22:12:19.289+00,2026-01-07 19:42:38.274596+00,gcid:bathroom_supply_store
cat_d78f0eca-fb87-49e0-83c7-ae4c114a0d5b,Batik Clothing Store,batik-clothing-store,Batik Clothing Store - Business category for batik clothing store,gcid:batik-clothing-store,,0,🏬,350,t,f,2025-12-03 22:12:19.504+00,2026-01-07 19:42:38.274596+00,gcid:batik_clothing_store
cat_28f91f21-44b5-45fd-925c-4b044da3af1f,Battery Store,battery-store,Battery Store - Business category for battery store,gcid:battery-store,,0,🏬,360,t,f,2025-12-03 22:12:19.71+00,2026-01-07 19:42:38.274596+00,gcid:battery_store
cat_d5a2eaa0-4131-41a6-9cd2-d97a1d8f9018,Beach Clothing Store,beach-clothing-store,Beach Clothing Store - Business category for beach clothing store,gcid:beach-clothing-store,,0,🏬,370,t,f,2025-12-03 22:12:19.919+00,2026-01-07 19:42:38.274596+00,gcid:beach_clothing_store
cat_bcf40fed-1ca0-41ba-abd1-2830ddf355e0,Bead Store,bead-store,Bead Store - Business category for bead store,gcid:bead-store,,0,🏬,380,t,f,2025-12-03 22:12:20.138+00,2026-01-07 19:42:38.274596+00,gcid:bead_store
cat_bba8c9b4-9dda-44be-b243-cfc60cc15ee9,Beauty Supply Store,beauty-supply-store,Beauty Supply Store - Business category for beauty supply store,gcid:beauty-supply-store,,0,🏬,390,t,f,2025-12-03 22:12:20.355+00,2026-01-07 19:42:38.274596+00,gcid:beauty_supply_store
cat_a0386cad-1991-486c-b549-a39fe3e820bb,Bedding Store,bedding-store,Bedding Store - Business category for bedding store,gcid:bedding-store,,0,🏬,400,t,f,2025-12-03 22:12:20.562+00,2026-01-07 19:42:38.274596+00,gcid:bedding_store
cat_85a5010c-2bce-49fc-ab30-9d711bb8d2d1,Bedroom Furniture Store,bedroom-furniture-store,Bedroom Furniture Store - Business category for bedroom furniture store,gcid:bedroom-furniture-store,,0,🏬,410,t,f,2025-12-03 22:12:20.774+00,2026-01-07 19:42:38.274596+00,gcid:bedroom_furniture_store
cat_af064d45-9f25-48b8-961f-9bea9cfc3a33,Beer Store,beer-store,Beer Store - Business category for beer store,gcid:beer-store,,0,🏬,420,t,f,2025-12-03 22:12:20.984+00,2026-01-07 19:42:38.274596+00,gcid:beer_store
cat_6670a974-d65b-481a-a3a7-42a2ec69e842,Bicycle Store,bicycle-store,Bicycle Store - Business category for bicycle store,gcid:bicycle-store,,0,🏬,430,t,f,2025-12-03 22:12:21.286+00,2026-01-07 19:42:38.274596+00,gcid:bicycle_store
cat_aea514ec-2389-4253-8b1f-89718561c307,Billiards Supply Store,billiards-supply-store,Billiards Supply Store - Business category for billiards supply store,gcid:billiards-supply-store,,0,🏬,440,t,f,2025-12-03 22:12:21.486+00,2026-01-07 19:42:38.274596+00,gcid:billiards_supply_store
cat_15b15781-4e9f-409e-bc94-13d771c59595,Book Store,book-store,Book Store - Business category for book store,gcid:book-store,,0,🏬,450,t,f,2025-12-03 22:12:21.706+00,2026-01-07 19:42:38.274596+00,gcid:book_store
cat_467b4027-2f7e-4514-a12e-b365bd3c5cb0,Boot Store,boot-store,Boot Store - Business category for boot store,gcid:boot-store,,0,🏬,460,t,f,2025-12-03 22:12:21.925+00,2026-01-07 19:42:38.274596+00,gcid:boot_store
cat_fd790099-3b7c-4b56-a9a4-15f45e8ea778,Brewing Supply Store,brewing-supply-store,Brewing Supply Store - Business category for brewing supply store,gcid:brewing-supply-store,,0,🏬,470,t,f,2025-12-03 22:12:22.147+00,2026-01-07 19:42:38.274596+00,gcid:brewing_supply_store
cat_20c898c1-a300-4c9b-a662-6cf5866b862a,Bubble Tea Store,bubble-tea-store,Bubble Tea Store - Business category for bubble tea store,gcid:bubble-tea-store,,0,🏬,480,t,f,2025-12-03 22:12:22.356+00,2026-01-07 19:42:38.274596+00,gcid:bubble_tea_store
cat_5eb64f74-9a60-40de-a7e9-c14e2c717df4,Buddhist Supplies Store,buddhist-supplies-store,Buddhist Supplies Store - Business category for buddhist supplies store,gcid:buddhist-supplies-store,,0,🏬,490,t,f,2025-12-03 22:12:22.57+00,2026-01-07 19:42:38.274596+00,gcid:buddhist_supplies_store
cat_a8b6b613-3238-4ffe-912b-af350f8728cd,Building Materials Store,building-materials-store,Building Materials Store - Business category for building materials store,gcid:building-materials-store,,0,🏬,510,t,f,2025-12-03 22:12:22.793+00,2026-01-07 19:42:38.274596+00,gcid:building_materials_store
cat_a5f99590-f36c-40dc-b5f2-a20a81922429,Burglar Alarm Store,burglar-alarm-store,Burglar Alarm Store - Business category for burglar alarm store,gcid:burglar-alarm-store,,0,🏬,520,t,f,2025-12-03 22:12:23.005+00,2026-01-07 19:42:38.274596+00,gcid:burglar_alarm_store
cat_a5df6770-e2fd-4948-aeee-9cce5b54ee65,Cabinet Store,cabinet-store,Cabinet Store - Business category for cabinet store,gcid:cabinet-store,,0,🏬,540,t,f,2025-12-03 22:12:23.445+00,2026-01-07 19:42:38.274596+00,gcid:cabinet_store
cat_b0fdb18a-d9ef-4e05-97dc-4e699d8d17d5,Camera Store,camera-store,Camera Store - Business category for camera store,gcid:camera-store,,0,🏬,550,t,f,2025-12-03 22:40:04.237+00,2026-01-07 19:42:38.274596+00,gcid:camera_store
cat_f4ff3b17-1e56-4693-8032-c704a0fcad22,Candle Store,candle-store,Candle Store - Business category for candle store,gcid:candle-store,,0,🏬,570,t,f,2025-12-03 22:40:04.705+00,2026-01-07 19:42:38.274596+00,gcid:candle_store
