id,product_slug,universal_sku,slug_hash,tenant_id,original_sku,created_at,slug_type,slug_prefix,brand_normalized,category_normalized,format_version,slug_components,is_active,migration_status
psr-6cf0bce9-f549-456e-a649-0bae590abb43,lpc_qsid-1766436467810_dairy-eggs_sid-2lv9qljd_fd89283d,,,tid-a3813d7i,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-2lv9qljd"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-86a580dc-2f37-4d65-a541-5dfacb441d8d,lpc_qsid-1766436467810_dairy-eggs_sid-9cir4i94_fd89283d,,,tid-mrsyk3w6,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-9cir4i94"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-807e73ed-ec81-4b03-b5b4-2b82bb4122a3,lpc_qsid-1766436467810_dairy-eggs_sid-ant6co6o_fd89283d,,,tid-r6cccpag,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-ant6co6o"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-08472f08-21dd-4669-9622-15a7359e36c6,lpc_qsid-1766436467810_dairy-eggs_sid-bfjxm60v_fd89283d,,,tid-fjwr30ib,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-bfjxm60v"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-7401014b-32b6-4352-9c2c-df81ea3aa5e2,lpc_qsid-1766436467810_dairy-eggs_sid-bjnswg2p_fd89283d,,,tid-lt2t1wzu,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-bjnswg2p"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-4d91ef09-4cc6-4f94-8ad5-c97e0c2e1f75,lpc_qsid-1766436467810_dairy-eggs_sid-cs861usc_fd89283d,,,tid-qki0mjdb,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-cs861usc"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-f29553bb-a9f9-4610-97bf-702fa6dd6f8b,lpc_qsid-1766436467810_dairy-eggs_sid-h84wqj9y_fd89283d,,,tenant-1774885228681,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-h84wqj9y"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-c97107e4-15c5-4cd8-ac4a-7ccd8343f07b,lpc_qsid-1766436467810_dairy-eggs_sid-nawgutw1_fd89283d,,,tid-8622qs2t,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-nawgutw1"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-db39c842-4e1d-49bf-a33f-e630dd96e64c,lpc_qsid-1766436467810_dairy-eggs_sid-uek9f4c6_fd89283d,,,tid-veid875z,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-uek9f4c6"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-c58d304c-a480-4504-be7c-a1a051510736,lpc_qsid-1766436467810_dairy-eggs_sid-us09h8mx_fd89283d,,,tid-042hi7ju,qsid-1766436467810,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""qsid-1766436467810"", ""type"": ""lpc"", ""item_id"": ""sid-us09h8mx"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-399c4968-ddb7-489c-b7c5-ed304f802ba4,lpc_qsid-1766436467811_dairy-eggs_sid-10v88tdd_42cc0494,,,tid-qki0mjdb,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-10v88tdd"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-af92b453-dd2b-4db2-a214-806732ac7868,lpc_qsid-1766436467811_dairy-eggs_sid-1d3ugpbq_42cc0494,,,tid-lt2t1wzu,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-1d3ugpbq"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-87bfeb4d-5306-448a-a838-d18c7ec79f3d,lpc_qsid-1766436467811_dairy-eggs_sid-26yio26r_42cc0494,,,tid-fjwr30ib,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-26yio26r"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-f4b7660d-514e-4e82-b713-cc6d07357b92,lpc_qsid-1766436467811_dairy-eggs_sid-5ouuz2n8_42cc0494,,,tid-r6cccpag,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-5ouuz2n8"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-038c7d63-92e7-46ab-9d51-2700f4b4039c,lpc_qsid-1766436467817_bakery_sid-pk2onrx2_323098b8,VS-BAK-DEL-4133BD,fd43a6cf9bf05eebf86a0019912ff301,tid-jcvzufq2,qsid-1766436467817,2026-04-30 20:51:47.011567,lpc,lpc,delightful-bakes,bakery,v2,"{""sku"": ""qsid-1766436467817"", ""type"": ""lpc"", ""item_id"": ""sid-pk2onrx2"", ""category"": ""bakery"", ""name_hash"": ""323098b8""}",t,migrated
psr-ade8ce2c-ace4-4400-842e-1bed82b9d5b7,lpc_qsid-1766436467811_dairy-eggs_sid-d5zisxux_42cc0494,,,tid-veid875z,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-d5zisxux"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-568cae99-c2d1-49e3-b839-7e79b0b5023c,lpc_qsid-1766436467811_dairy-eggs_sid-ia9ls0iw_42cc0494,,,tid-a3813d7i,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-ia9ls0iw"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-207aaba3-a358-4aed-9454-5fb47a6b9a8e,lpc_qsid-1766436467811_dairy-eggs_sid-lm2rjbk1_42cc0494,,,tenant-1774885228681,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-lm2rjbk1"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-24a257c1-bea5-4a3f-924e-37dd7ec21370,lpc_qsid-1766436467811_dairy-eggs_sid-sja9osa4_42cc0494,,,tid-042hi7ju,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-sja9osa4"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-d95036d6-fc14-4c45-85a7-add450c8ee15,lpc_qsid-1766436467811_dairy-eggs_sid-v2ihey1r_42cc0494,,,tid-8622qs2t,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-v2ihey1r"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-b127c20d-15d3-43bf-8244-f51c699f8b8a,lpc_qsid-1766436467811_dairy-eggs_sid-y6c4u32a_42cc0494,,,tid-mrsyk3w6,qsid-1766436467811,2026-05-04 12:09:23.197384,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-y6c4u32a"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,backfilled
psr-db3e0963-512e-460a-b5e2-b3e094db9ac6,lpc_qsid-1766436467812_produce_sid-4s07m9k1_7cf0733f,,,tid-veid875z,qsid-1766436467812,2026-05-04 12:09:23.197384,lpc,lpc,onion-masters,produce,v2,"{""sku"": ""qsid-1766436467812"", ""type"": ""lpc"", ""item_id"": ""sid-4s07m9k1"", ""category"": ""produce"", ""name_hash"": ""7cf0733f""}",t,backfilled
