id,parent_item_id,tenant_id,sku,variant_name,price_cents,sale_price_cents,stock,image_url,attributes,sort_order,is_active,created_at,updated_at
var-1769610113862-b8klkxr,sid-jw2g3ftw,tid-m8ijkrnk,qsid-1767098488111-WID,wide,2000,,6,,"{""width"": ""wide""}",0,t,2026-01-28 14:21:53.868,2026-01-28 14:21:53.868
var-1769610113862-xepyio5,sid-jw2g3ftw,tid-m8ijkrnk,qsid-1767098488111-NAR,narrow,3000,,3,,"{""width"": ""narrow""}",1,t,2026-01-28 14:21:53.868,2026-01-28 14:21:53.868
var-1769611478602-w3jtuwg,sid-qiazuxmt,tid-m8ijkrnk,qsid-1767098488110-NAR,narrow,0,,6,,"{""width"": ""narrow""}",0,t,2026-01-28 14:44:38.611,2026-01-28 14:44:38.611
var-1769611478603-9onl0rt,sid-qiazuxmt,tid-m8ijkrnk,qsid-1767098488110-WID,wide,0,,5,,"{""width"": ""wide""}",1,t,2026-01-28 14:44:38.611,2026-01-28 14:44:38.611
var-1769611616329-9exfnn1,sid-qiazuxmt,tid-m8ijkrnk,qsid-1767098488110-WID-LAR-YEL,wide - Large - Yellow,1000,,5,,"{""size"": ""Large"", ""color"": ""Yellow"", ""width"": ""wide""}",0,t,2026-01-28 14:46:56.335,2026-01-28 14:46:56.335
var-1769611616329-7wgh2vf,sid-qiazuxmt,tid-m8ijkrnk,qsid-1767098488110-NAR-LAR-GRA,narrow - Large - Gray,1000,,5,,"{""size"": ""Large"", ""color"": ""Gray"", ""width"": ""narrow""}",1,t,2026-01-28 14:46:56.335,2026-01-28 14:46:56.335
var-1775120465228-vtq9i59,sid-2vnwdcfa,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V871K,small - yellow,399,299,4,,"{""size"": ""small"", ""color"": ""yellow""}",0,t,2026-04-02 09:01:05.229,2026-04-02 09:01:05.229
var-1775120466095-u1m344g,sid-2vnwdcfa,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-VDG2W,medium - red,499,399,4,,"{""size"": ""medium"", ""color"": ""red""}",0,t,2026-04-02 09:01:06.096,2026-04-02 09:01:06.096
var-1775120466945-1bbqftp,sid-2vnwdcfa,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V6LNF,large - green,599,499,4,,"{""size"": ""large"", ""color"": ""green""}",0,t,2026-04-02 09:01:06.947,2026-04-02 09:01:06.947
vid-sid-xeabktla-87a,sid-xeabktla,tid-042hi7ju,R4KG-PHYS-SHIP-PUBL-V01,400g,799,,7,,"{""weight"": ""400g""}",0,t,2026-03-27 10:16:37.77,2026-03-27 10:16:37.77
