id,user_id,type,severity,ip_address,user_agent,description,metadata,resolved,resolved_at,resolved_by,created_at,updated_at
threat_68128094-ad78-43da-bfdb-49e35ffcb855,,failed_login,low,99.49.63.10,Mozilla/5.0 (Android 16; Mobile; rv:146.0) Gecko/146.0 Firefox/146.0,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 1, ""attemptedEmail"": ""platform@rvp.com""}",f,,,2025-12-27 03:11:18.494,2025-12-27 03:11:18.494
threat_d79ee734-e0b0-4dcc-96bd-c67ee042ca37,,failed_login,low,99.49.63.10,Mozilla/5.0 (Android 16; Mobile; rv:146.0) Gecko/146.0 Firefox/146.0,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 1, ""attemptedEmail"": ""platform@rvp.com""}",f,,,2025-12-27 15:35:58.45,2025-12-27 15:35:58.45
threat_26773f4c-dc18-436d-a9a1-4de49b2bd9f2,,failed_login,low,99.49.63.10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,"{""timeWindow"": ""15 minutes"", ""failureCount"": 1, ""attemptedEmail"": ""platformdemo@rvp.com""}",f,,,2025-12-31 13:57:18.828,2025-12-31 13:57:18.828
threat_2a985747-4ceb-4f7e-aaea-c01f2aeec41f,,failed_login,low,99.49.63.10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,"{""timeWindow"": ""15 minutes"", ""failureCount"": 2, ""attemptedEmail"": ""platformdemo@rvp.com""}",f,,,2025-12-31 13:57:48.817,2025-12-31 13:57:48.817
threat_9d72b590-2a9f-49cf-9878-6cb9404c06df,,failed_login,low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",,"{""timeWindow"": ""15 minutes"", ""failureCount"": 1, ""attemptedEmail"": ""platformdemo@rvp.com""}",f,,,2026-01-03 00:46:09.737,2026-01-03 00:46:09.737
threat_52e22eb6-d518-40d4-aa94-6316174019f2,,failed_login,low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",,"{""timeWindow"": ""15 minutes"", ""failureCount"": 2, ""attemptedEmail"": ""platform@rvp.com""}",f,,,2026-01-03 00:46:20.947,2026-01-03 00:46:20.947
threat_45f9f15d-bbbf-45d6-b5e1-1d412f6252ff,,failed_login,low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",,"{""timeWindow"": ""15 minutes"", ""failureCount"": 3, ""attemptedEmail"": ""platform@rvp.com""}",f,,,2026-01-03 00:46:36.982,2026-01-03 00:46:36.982
threat_bb090ba5-d9a3-427a-b298-6522e5f3f9a6,,failed_login,low,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 1, ""attemptedEmail"": ""platformdemo@rvp.com""}",f,,,2026-01-07 19:15:37.691,2026-01-07 19:15:37.691
threat_7244541e-7349-4f56-98c2-01ac20a50b34,,failed_login,low,127.0.0.1,node,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 1, ""attemptedEmail"": ""test@example.com""}",f,,,2026-01-21 20:01:55.955,2026-01-21 20:01:55.955
threat_08e03225-1752-4888-b4ad-ef090b44a716,,failed_login,low,127.0.0.1,node,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 2, ""attemptedEmail"": ""test@example.com""}",f,,,2026-01-21 20:09:54.875,2026-01-21 20:09:54.875
threat_03292ad6-9e21-40b6-b677-f00592776461,,failed_login,low,127.0.0.1,node,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 3, ""attemptedEmail"": ""test@example.com""}",f,,,2026-01-21 20:13:27.342,2026-01-21 20:13:27.342
threat_d744d77b-ee90-4842-9f5f-62c5f03564ed,,failed_login,medium,127.0.0.1,node,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 4, ""attemptedEmail"": ""test@example.com""}",f,,,2026-01-21 20:15:36.125,2026-01-21 20:15:36.125
threat_a2e7407d-cf3a-4f62-adbf-acbb7af62ba2,,failed_login,low,127.0.0.1,node,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 3, ""attemptedEmail"": ""test@example.com""}",f,,,2026-01-21 20:27:09.789,2026-01-21 20:27:09.789
threat_77299428-1191-4d30-a1b6-b1012d43ede4,,failed_login,low,127.0.0.1,node,,"{""timeWindow"": ""15 minutes"", ""failureCount"": 1, ""attemptedEmail"": ""test@example.com""}",f,,,2026-01-21 22:08:44.394,2026-01-21 22:08:44.394
