id,invoice_id,gateway_type,transaction_id,amount_cents,status,failure_reason,created_at
spay-inv-tid-fjwr30ib-h3sqz1-c2ow,inv-tid-fjwr30ib-h3sqz1,stripe,2DX16479C6515080V,2900,succeeded,,2026-04-08 02:18:55.993+00
spay-inv-tid-qki0mjdb-76sdgg-0frr,inv-tid-qki0mjdb-76sdgg,stripe,7UE51392FX781801D,9900,succeeded,,2026-04-21 14:06:20.715+00
spay-inv-tid-fjwr30ib-ca6woo-hmhg,inv-tid-fjwr30ib-ca6woo,stripe,5RT649466G5782902,19900,succeeded,,2026-04-23 13:47:04.095+00
spay-inv-tid-zcp9a56y-8dzidm-5lox,inv-tid-zcp9a56y-8dzidm,stripe,25581224TF9556726,19900,succeeded,,2026-04-25 12:05:50.904+00
spay-inv-tid-zcp9a56y-28unip-moguyfv9,inv-tid-zcp9a56y-28unip,stripe,pi_mock_1777273840107,2299,succeeded,,2026-04-27 07:10:40.107+00
spay-inv-tid-qki0mjdb-f0b2p9-u5b9,inv-tid-qki0mjdb-f0b2p9,stripe,sub_1TR2TrQnZRZo6S8o48eZ5E81,9900,succeeded,,2026-04-28 03:38:45+00
spay-inv-tid-qki0mjdb-eafc8c-nylk,inv-tid-qki0mjdb-eafc8c,stripe,sub_1TR2n6QnZRZo6S8o0101rp9M,2900,succeeded,,2026-04-28 03:58:37.216+00
spay-inv-tid-qki0mjdb-4jrro8-d4oe,inv-tid-qki0mjdb-4jrro8,stripe,sub_1TR2sxQnZRZo6S8oe0BuEvKS,49999,succeeded,,2026-04-28 04:04:40.439+00
spay-inv-tid-qki0mjdb-6yhi7f-vect,inv-tid-qki0mjdb-6yhi7f,stripe,sub_1TR3EPQnZRZo6S8ow7myDk7r,19900,succeeded,,2026-04-28 04:26:49.949+00
pay-tid-qki0mjdb-moi6icye,inv-tid-qki0mjdb-moi6icyd,paypal,I-XFLXPYLTARW9,9900,completed,,2026-04-28 05:21:51.637+00
pay-tid-qki0mjdb-moi6iczl,inv-tid-qki0mjdb-moi6iczk,paypal,I-XFLXPYLTARW9,9900,completed,,2026-04-28 05:21:51.68+00
pay-tid-qki0mjdb-moi6ryla,inv-tid-qki0mjdb-moi6ryl5,paypal,I-1BA5H99HD1BS,5900,completed,,2026-04-28 05:29:19.577+00
pay-tid-qki0mjdb-moi6ryo6,inv-tid-qki0mjdb-moi6ryo5,paypal,I-1BA5H99HD1BS,5900,completed,,2026-04-28 05:29:19.686+00
spay-inv-tid-qki0mjdb-n6xyzu-wn57,inv-tid-qki0mjdb-n6xyzu,stripe,sub_1TR4E7QnZRZo6S8o1T83fXaA,2900,succeeded,,2026-04-28 05:30:35.799+00
spay-inv-tid-042hi7ju-7at8os-itep,inv-tid-042hi7ju-7at8os,stripe,sub_1TR4HEQnZRZo6S8obSMUkKSw,19900,succeeded,,2026-04-28 05:33:49.388+00
spay-inv-tid-042hi7ju-o553z7-3ig6,inv-tid-042hi7ju-o553z7,stripe,sub_1TR4XuQnZRZo6S8on1irh3lZ,49999,succeeded,,2026-04-28 05:51:04.292+00
spay-inv-tid-042hi7ju-lea5q5-pn71,inv-tid-042hi7ju-lea5q5,stripe,sub_1TR4yJQnZRZo6S8od5VL3XSM,19900,succeeded,,2026-04-28 06:18:19.649+00
pay-tid-042hi7ju-moi9w8sc,inv-tid-042hi7ju-moi9w8sc,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:56:38.268+00
pay-tid-042hi7ju-moi9w8zn,inv-tid-042hi7ju-moi9w8zn,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:56:38.531+00
pay-tid-042hi7ju-moi9wju6,inv-tid-042hi7ju-moi9wju5,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:56:52.589+00
pay-tid-042hi7ju-moi9wjul,inv-tid-042hi7ju-moi9wjul,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:56:52.605+00
