id,tenant_id,gbp_category_id,category_type,created_at,updated_at
f20d3c2f-059f-44bb-948a-baceeedc1809,tid-8622qs2t,gcid:african-grocery-store,primary,2026-03-06 16:25:06.945825+00,2026-03-06 16:25:06.945825+00
54e17efe-fcb5-49ba-981f-f3703a411ccb,tid-8622qs2t,gcid:grocery-store,secondary,2026-03-06 16:25:07.050205+00,2026-03-06 16:25:07.050205+00
e3d59c9d-d40c-4840-8623-6e153e80d3ff,tid-a3813d7i,gcid:african-grocery-store,primary,2026-03-24 23:07:58.939049+00,2026-03-24 23:07:58.939049+00
45fcd057-ae43-4a1e-928c-7404b8309a60,tid-a3813d7i,gcid:grocery-store,secondary,2026-03-24 23:07:58.993743+00,2026-03-24 23:07:58.993743+00
8d94b833-8177-47a3-bf88-27ebe6dab207,tid-a3813d7i,gcid:african-goods-store,secondary,2026-03-24 23:07:59.035926+00,2026-03-24 23:07:59.035926+00
c6ef8bc2-dbfc-4f88-a28f-fe66bd0b92f3,tid-r6cccpag,gcid:grocery-store,primary,2026-03-25 08:15:42.137802+00,2026-03-25 08:15:42.137802+00
7d8be44b-bf39-40ae-8825-c0b36f9400d2,tid-r6cccpag,gcid:african-grocery-store,secondary,2026-03-25 08:15:42.226405+00,2026-03-25 08:15:42.226405+00
787a7ed6-afd7-4022-a03e-980181860289,tid-r6cccpag,gcid:african-goods-store,secondary,2026-03-25 08:15:42.303341+00,2026-03-25 08:15:42.303341+00
e6c36159-6fa8-43c5-b1f9-1a2309a3fc77,tid-qki0mjdb,gcid:african-grocery-store,primary,2026-03-25 16:31:03.127564+00,2026-03-25 16:31:03.127564+00
81ff96c1-c14b-47e4-82cc-ccdbe9a12917,tid-qki0mjdb,gcid:convenience-store,secondary,2026-03-25 16:31:03.207657+00,2026-03-25 16:31:03.207657+00
519e6120-8679-4b2b-ad0d-73ce3b46c295,tid-qki0mjdb,gcid:grocery-store,secondary,2026-03-25 16:31:03.280401+00,2026-03-25 16:31:03.280401+00
300965b0-335b-403d-8182-f42fdfb453cf,tid-fjwr30ib,gcid:african-grocery-store,primary,2026-04-01 16:07:07.058852+00,2026-04-01 16:07:07.058852+00
eb0c76fb-2402-4b24-83f7-b696bfff6121,tid-fjwr30ib,gcid:african-goods-store,secondary,2026-04-01 16:07:07.117088+00,2026-04-01 16:07:07.117088+00
6605692d-c589-44bb-b1e1-39e588980d64,tid-jcvzufq2,gcid:indian-grocery-store,primary,2026-04-03 12:48:47.151033+00,2026-04-03 12:48:47.151033+00
5a748a92-a870-4f03-930d-caa6551505ce,tid-jcvzufq2,gcid:convenience-store,secondary,2026-04-03 12:48:47.201942+00,2026-04-03 12:48:47.201942+00
c19cdb1b-8703-414a-9446-de380b27c502,tid-jcvzufq2,gcid:indian-sweets-shop,secondary,2026-04-03 12:48:47.247878+00,2026-04-03 12:48:47.247878+00
245890c3-82cd-4d3b-a66c-39b4bfbb99fe,tid-jcvzufq2,gcid:grocery-store,secondary,2026-04-03 12:48:47.294342+00,2026-04-03 12:48:47.294342+00
bc7fbd02-c225-41ec-87db-ce3dd158bded,tid-mrsyk3w6,gcid:african-goods-store,primary,2026-01-05 13:38:31.684614+00,2026-01-05 13:38:31.684614+00
34bc4cce-f34a-435d-8c14-6b91046f812b,tid-mrsyk3w6,gcid:grocery-store,secondary,2026-01-05 13:38:31.741612+00,2026-01-05 13:38:31.741612+00
53f7c8e4-dfd9-456f-b75c-0b78a2e16c03,tid-mrsyk3w6,gcid:african-grocery-store,secondary,2026-01-05 13:38:31.78532+00,2026-01-05 13:38:31.78532+00
7e358bb0-440a-49c2-b5a8-9c18ae842617,tid-042hi7ju,gcid:grocery_store,primary,2026-01-07 14:47:29.321057+00,2026-01-07 14:47:29.321057+00
ffccac2b-c343-4f66-b5c6-96d7be126495,tid-042hi7ju,gcid:convenience_store,secondary,2026-01-07 14:47:29.396916+00,2026-01-07 14:47:29.396916+00
db9a5781-8a0a-4145-ae0d-511d2cb28e90,tid-m8ijkrnk,gcid:african-grocery-store,primary,2026-03-03 10:15:30.015877+00,2026-03-03 10:15:30.015877+00
836f9688-c601-4e97-9792-7f761f132a70,tid-m8ijkrnk,gcid:african-goods-store,secondary,2026-03-03 10:15:30.099531+00,2026-03-03 10:15:30.099531+00
5438aa42-3395-445e-9099-ee6c96d2fa90,tid-m8ijkrnk,gcid:asian-grocery-store,secondary,2026-03-03 10:15:30.172876+00,2026-03-03 10:15:30.172876+00
07e538fc-de6d-4c61-8836-54370ab9dae5,tid-m8ijkrnk,gcid:fresh-food-market,secondary,2026-03-03 10:15:30.243622+00,2026-03-03 10:15:30.243622+00
