id,tier_id,feature_key,feature_name,is_enabled,is_inherited,metadata,created_at,updated_at
tfid-qw5i3,tier_chain_professional,qr_codes_2048,Qr Codes 2048,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-ywnz0,tier_chain_professional,image_gallery_10,Image Gallery 10,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-4gbad,tier_chain_professional,advanced_analytics,Advanced Analytics,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-alrq0,tier_chain_professional,hero_location,Hero Location,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-zq4no,tier_chain_professional,category_quick_start,Category Quick Start,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-nzz7j,tier_chain_professional,categories,Categories,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-tn1dq,tier_chain_professional,bulk_import,Bulk Import,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-ub89w,tier_chain_professional,basic_search,Basic Search,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-rrj0x,tier_chain_professional,google_sync,Google Sync,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-z4q3x,tier_chain_professional,manual_barcode,Manual Barcode,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-eda9w,tier_chain_professional,manual_entry,Manual Entry,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-ccxgj,tier_chain_professional,quick_start_wizard,Quick Start Wizard,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-bfjvp,tier_chain_professional,clover_sync,Clover Sync,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-bnzgy,tier_chain_professional,square_sync,Square Sync,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-q2uj0,tier_chain_professional,propagation_brand,Propagation Brand,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-8yflq,tier_chain_professional,google_shopping,Google Shopping,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-e11fy,tier_chain_professional,google_merchant_center,Google Merchant Center,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-e0t9r,tier_chain_professional,basic_product_pages,Basic Product Pages,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-5qmx1,tier_chain_professional,qr_codes_512,Qr Codes 512,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-pjms7,tier_chain_professional,performance_analytics,Performance Analytics,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-0s4kd,tier_chain_professional,storefront,Storefront,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-6nnmn,tier_chain_professional,product_search,Product Search,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-m9ul2,tier_chain_professional,mobile_responsive,Mobile Responsive,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-cwnua,tier_chain_professional,enhanced_seo,Enhanced Seo,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-ms2kt,tier_chain_professional,basic_categories,Basic Categories,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-2fhwy,tier_chain_professional,quick_start_wizard_full,Quick Start Wizard Full,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-nm0jq,tier_chain_professional,barcode_scan,Barcode Scan,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-evuux,tier_chain_professional,gbp_integration,Gbp Integration,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-46kjp,tier_chain_professional,custom_branding,Custom Branding,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-rfb7y,tier_chain_professional,business_logo,Business Logo,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-bfcfo,tier_chain_professional,qr_codes_1024,Qr Codes 1024,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-ruavk,tier_chain_professional,image_gallery_5,Image Gallery 5,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
tfid-12skn,tier_chain_professional,interactive_maps,Interactive Maps,t,f,,2026-04-19 19:28:23.191,2026-04-19 19:28:23.191
