id,event_type,event_id,payload,processed,error_message,created_at,processed_at
wh_1768084000498_tf1145tf1,charge.succeeded,evt_3SoAcG2Ng8vHl3911Dz1vRB6,"{""id"": ""evt_3SoAcG2Ng8vHl3911Dz1vRB6"", ""data"": {""object"": {""id"": ""ch_3SoAcG2Ng8vHl3911ywtBrAo"", ""paid"": true, ""order"": null, ""amount"": 2000, ""object"": ""charge"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768084000, ""dispute"": null, ""invoice"": null, ""outcome"": {""type"": ""authorized"", ""reason"": null, ""risk_level"": ""normal"", ""risk_score"": 2, ""advice_code"": null, ""network_status"": ""approved_by_network"", ""seller_message"": ""Payment complete."", ""network_advice_code"": null, ""network_decline_code"": null}, ""captured"": true, ""currency"": ""usd"", ""customer"": null, ""disputed"": false, ""livemode"": false, ""metadata"": {}, ""refunded"": false, ""shipping"": {""name"": ""Jenny Rosen"", ""phone"": null, ""address"": {""city"": ""San Francisco"", ""line1"": ""510 Townsend St"", ""line2"": null, ""state"": ""CA"", ""country"": ""US"", ""postal_code"": ""94103""}, ""carrier"": null, ""tracking_number"": null}, ""application"": null, ""description"": ""(created by Stripe CLI)"", ""destination"": null, ""receipt_url"": ""https://pay.stripe.com/receipts/payment/CAcaFwoVYWNjdF8xT3ZxNzMyTmc4dkhsMzkxKKGki8sGMgZLdWfpMVc6LBZqzd_nE4830GGTcFOwlDU8nFpeSl06GzTA2LstDutzYuc01vl__nwoHY8F"", ""failure_code"": null, ""on_behalf_of"": null, ""fraud_details"": {}, ""radar_options"": {}, ""receipt_email"": null, ""transfer_data"": null, ""payment_intent"": ""pi_3SoAcG2Ng8vHl3911bNaH5q5"", ""payment_method"": ""pm_1SoAcF2Ng8vHl391ivLhpz7y"", ""receipt_number"": null, ""transfer_group"": null, ""amount_captured"": 2000, ""amount_refunded"": 0, ""application_fee"": null, ""billing_details"": {""name"": null, ""email"": null, ""phone"": null, ""tax_id"": null, ""address"": {""city"": null, ""line1"": null, ""line2"": null, ""state"": null, ""country"": null, ""postal_code"": null}}, ""failure_message"": null, ""source_transfer"": null, ""balance_transaction"": ""txn_3SoAcG2Ng8vHl3911YAy1OdN"", ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_details"": {""card"": {""brand"": ""visa"", ""last4"": ""4242"", ""checks"": {""cvc_check"": ""pass"", ""address_line1_check"": null, ""address_postal_code_check"": null}, ""wallet"": null, ""country"": ""US"", ""funding"": ""credit"", ""mandate"": null, ""network"": ""visa"", ""exp_year"": 2027, ""exp_month"": 1, ""fingerprint"": ""ThL3GbWL6soZmFaF"", ""overcapture"": {""status"": ""unavailable"", ""maximum_amount_capturable"": 2000}, ""installments"": null, ""multicapture"": {""status"": ""unavailable""}, ""network_token"": {""used"": false}, ""three_d_secure"": null, ""regulated_status"": ""unregulated"", ""amount_authorized"": 2000, ""authorization_code"": ""826651"", ""extended_authorization"": {""status"": ""disabled""}, ""network_transaction_id"": ""841047651719887"", ""incremental_authorization"": {""status"": ""unavailable""}}, ""type"": ""card""}, ""failure_balance_transaction"": null, ""statement_descriptor_suffix"": null, ""calculated_statement_descriptor"": ""PAUL YARL""}}, ""type"": ""charge.succeeded"", ""object"": ""event"", ""created"": 1768084000, ""request"": {""id"": ""req_WpPHie0qFemvyj"", ""idempotency_key"": ""2ac4f43b-542a-42b1-8737-8dc05783b03f""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:26:40.498,2026-01-10 22:26:40.964
wh_1768084000582_0fpi30pyp,payment_intent.created,evt_3SoAcG2Ng8vHl3911j1oaCKq,"{""id"": ""evt_3SoAcG2Ng8vHl3911j1oaCKq"", ""data"": {""object"": {""id"": ""pi_3SoAcG2Ng8vHl3911bNaH5q5"", ""amount"": 2000, ""object"": ""payment_intent"", ""review"": null, ""source"": null, ""status"": ""requires_payment_method"", ""created"": 1768084000, ""invoice"": null, ""currency"": ""usd"", ""customer"": null, ""livemode"": false, ""metadata"": {}, ""shipping"": {""name"": ""Jenny Rosen"", ""phone"": null, ""address"": {""city"": ""San Francisco"", ""line1"": ""510 Townsend St"", ""line2"": null, ""state"": ""CA"", ""country"": ""US"", ""postal_code"": ""94103""}, ""carrier"": null, ""tracking_number"": null}, ""processing"": null, ""application"": null, ""canceled_at"": null, ""description"": ""(created by Stripe CLI)"", ""next_action"": null, ""on_behalf_of"": null, ""client_secret"": ""pi_3SoAcG2Ng8vHl3911bNaH5q5_secret_PgoftTUabNwNOHVKCZJZ6ksAK"", ""latest_charge"": null, ""receipt_email"": null, ""transfer_data"": null, ""amount_details"": {""tip"": {}}, ""capture_method"": ""automatic"", ""payment_method"": null, ""transfer_group"": null, ""amount_received"": 0, ""customer_account"": null, ""amount_capturable"": 0, ""last_payment_error"": null, ""setup_future_usage"": null, ""cancellation_reason"": null, ""confirmation_method"": ""automatic"", ""payment_method_types"": [""card""], ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_options"": {""card"": {""network"": null, ""installments"": null, ""mandate_options"": null, ""request_three_d_secure"": ""automatic""}}, ""automatic_payment_methods"": null, ""statement_descriptor_suffix"": null, ""excluded_payment_method_types"": null, ""payment_method_configuration_details"": null}}, ""type"": ""payment_intent.created"", ""object"": ""event"", ""created"": 1768084000, ""request"": {""id"": ""req_WpPHie0qFemvyj"", ""idempotency_key"": ""2ac4f43b-542a-42b1-8737-8dc05783b03f""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:26:40.582,2026-01-10 22:26:41.06
wh_1768084041806_68sgpordf,payment_intent.created,evt_3SoAct2Ng8vHl3911YotnHph,"{""id"": ""evt_3SoAct2Ng8vHl3911YotnHph"", ""data"": {""object"": {""id"": ""pi_3SoAct2Ng8vHl3911Y1nfCSt"", ""amount"": 100, ""object"": ""payment_intent"", ""review"": null, ""source"": null, ""status"": ""requires_payment_method"", ""created"": 1768084039, ""invoice"": null, ""currency"": ""usd"", ""customer"": null, ""livemode"": false, ""metadata"": {}, ""shipping"": null, ""processing"": null, ""application"": null, ""canceled_at"": null, ""description"": ""(created by Stripe CLI)"", ""next_action"": null, ""on_behalf_of"": null, ""client_secret"": ""pi_3SoAct2Ng8vHl3911Y1nfCSt_secret_QC2Cgy24JxA5TggaiIKyUG4ZR"", ""latest_charge"": null, ""receipt_email"": null, ""transfer_data"": null, ""amount_details"": {""tip"": {}}, ""capture_method"": ""automatic"", ""payment_method"": null, ""transfer_group"": null, ""amount_received"": 0, ""customer_account"": null, ""amount_capturable"": 0, ""last_payment_error"": null, ""setup_future_usage"": null, ""cancellation_reason"": null, ""confirmation_method"": ""automatic"", ""payment_method_types"": [""card""], ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_options"": {""card"": {""network"": null, ""installments"": null, ""mandate_options"": null, ""request_three_d_secure"": ""automatic""}}, ""automatic_payment_methods"": null, ""statement_descriptor_suffix"": null, ""excluded_payment_method_types"": null, ""payment_method_configuration_details"": null}}, ""type"": ""payment_intent.created"", ""object"": ""event"", ""created"": 1768084039, ""request"": {""id"": ""req_geao9aPn4A6YFL"", ""idempotency_key"": ""55c72126-11fa-42ba-a783-111b9b695e40""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:27:21.806,2026-01-10 22:27:22.015
wh_1768084041992_w5o3e4345,charge.dispute.created,evt_1SoAcw2Ng8vHl391qxkA61ri,"{""id"": ""evt_1SoAcw2Ng8vHl391qxkA61ri"", ""data"": {""object"": {""id"": ""du_1SoAcv2Ng8vHl391OixaN6CM"", ""amount"": 100, ""charge"": ""ch_3SoAct2Ng8vHl39112VKwUqc"", ""object"": ""dispute"", ""reason"": ""fraudulent"", ""status"": ""warning_needs_response"", ""created"": 1768084041, ""currency"": ""usd"", ""evidence"": {""receipt"": null, ""service_date"": null, ""customer_name"": null, ""refund_policy"": null, ""shipping_date"": null, ""billing_address"": null, ""shipping_address"": null, ""shipping_carrier"": null, ""enhanced_evidence"": {}, ""customer_signature"": null, ""uncategorized_file"": null, ""uncategorized_text"": null, ""access_activity_log"": null, ""cancellation_policy"": null, ""duplicate_charge_id"": null, ""product_description"": null, ""customer_purchase_ip"": null, ""cancellation_rebuttal"": null, ""service_documentation"": null, ""customer_communication"": null, ""customer_email_address"": null, ""shipping_documentation"": null, ""refund_policy_disclosure"": null, ""shipping_tracking_number"": null, ""refund_refusal_explanation"": null, ""duplicate_charge_explanation"": null, ""cancellation_policy_disclosure"": null, ""duplicate_charge_documentation"": null}, ""livemode"": false, ""metadata"": {}, ""payment_intent"": ""pi_3SoAct2Ng8vHl3911Y1nfCSt"", ""evidence_details"": {""due_by"": 1768780799, ""past_due"": false, ""has_evidence"": false, ""submission_count"": 0, ""enhanced_eligibility"": {}}, ""balance_transaction"": null, ""balance_transactions"": [], ""is_charge_refundable"": true, ""payment_method_details"": {""card"": {""brand"": ""visa"", ""case_type"": ""inquiry"", ""network_reason_code"": ""10""}, ""type"": ""card""}, ""enhanced_eligibility_types"": []}}, ""type"": ""charge.dispute.created"", ""object"": ""event"", ""created"": 1768084042, ""request"": {""id"": ""req_geao9aPn4A6YFL"", ""idempotency_key"": ""55c72126-11fa-42ba-a783-111b9b695e40""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:27:21.992,2026-01-10 22:27:22.617
wh_1768084000525_1t7uwbyhb,payment_intent.succeeded,evt_3SoAcG2Ng8vHl3911PUenrMa,"{""id"": ""evt_3SoAcG2Ng8vHl3911PUenrMa"", ""data"": {""object"": {""id"": ""pi_3SoAcG2Ng8vHl3911bNaH5q5"", ""amount"": 2000, ""object"": ""payment_intent"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768084000, ""invoice"": null, ""currency"": ""usd"", ""customer"": null, ""livemode"": false, ""metadata"": {}, ""shipping"": {""name"": ""Jenny Rosen"", ""phone"": null, ""address"": {""city"": ""San Francisco"", ""line1"": ""510 Townsend St"", ""line2"": null, ""state"": ""CA"", ""country"": ""US"", ""postal_code"": ""94103""}, ""carrier"": null, ""tracking_number"": null}, ""processing"": null, ""application"": null, ""canceled_at"": null, ""description"": ""(created by Stripe CLI)"", ""next_action"": null, ""on_behalf_of"": null, ""client_secret"": ""pi_3SoAcG2Ng8vHl3911bNaH5q5_secret_PgoftTUabNwNOHVKCZJZ6ksAK"", ""latest_charge"": ""ch_3SoAcG2Ng8vHl3911ywtBrAo"", ""receipt_email"": null, ""transfer_data"": null, ""amount_details"": {""tip"": {}}, ""capture_method"": ""automatic"", ""payment_method"": ""pm_1SoAcF2Ng8vHl391ivLhpz7y"", ""transfer_group"": null, ""amount_received"": 2000, ""customer_account"": null, ""amount_capturable"": 0, ""last_payment_error"": null, ""setup_future_usage"": null, ""cancellation_reason"": null, ""confirmation_method"": ""automatic"", ""payment_method_types"": [""card""], ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_options"": {""card"": {""network"": null, ""installments"": null, ""mandate_options"": null, ""request_three_d_secure"": ""automatic""}}, ""automatic_payment_methods"": null, ""statement_descriptor_suffix"": null, ""excluded_payment_method_types"": null, ""payment_method_configuration_details"": null}}, ""type"": ""payment_intent.succeeded"", ""object"": ""event"", ""created"": 1768084000, ""request"": {""id"": ""req_WpPHie0qFemvyj"", ""idempotency_key"": ""2ac4f43b-542a-42b1-8737-8dc05783b03f""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:26:40.525,2026-01-10 22:26:41.17
wh_1768084041764_uwtkchnqx,payment_intent.succeeded,evt_3SoAct2Ng8vHl3911NP6yQt1,"{""id"": ""evt_3SoAct2Ng8vHl3911NP6yQt1"", ""data"": {""object"": {""id"": ""pi_3SoAct2Ng8vHl3911Y1nfCSt"", ""amount"": 100, ""object"": ""payment_intent"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768084039, ""invoice"": null, ""currency"": ""usd"", ""customer"": null, ""livemode"": false, ""metadata"": {}, ""shipping"": null, ""processing"": null, ""application"": null, ""canceled_at"": null, ""description"": ""(created by Stripe CLI)"", ""next_action"": null, ""on_behalf_of"": null, ""client_secret"": ""pi_3SoAct2Ng8vHl3911Y1nfCSt_secret_QC2Cgy24JxA5TggaiIKyUG4ZR"", ""latest_charge"": ""ch_3SoAct2Ng8vHl39112VKwUqc"", ""receipt_email"": null, ""transfer_data"": null, ""amount_details"": {""tip"": {}}, ""capture_method"": ""automatic"", ""payment_method"": ""pm_1SoAct2Ng8vHl391spL7aAok"", ""transfer_group"": null, ""amount_received"": 100, ""customer_account"": null, ""amount_capturable"": 0, ""last_payment_error"": null, ""setup_future_usage"": null, ""cancellation_reason"": null, ""confirmation_method"": ""automatic"", ""payment_method_types"": [""card""], ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_options"": {""card"": {""network"": null, ""installments"": null, ""mandate_options"": null, ""request_three_d_secure"": ""automatic""}}, ""automatic_payment_methods"": null, ""statement_descriptor_suffix"": null, ""excluded_payment_method_types"": null, ""payment_method_configuration_details"": null}}, ""type"": ""payment_intent.succeeded"", ""object"": ""event"", ""created"": 1768084042, ""request"": {""id"": ""req_geao9aPn4A6YFL"", ""idempotency_key"": ""55c72126-11fa-42ba-a783-111b9b695e40""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:27:21.764,2026-01-10 22:27:22.182
wh_1768084041934_0rtop6j1v,charge.succeeded,evt_3SoAct2Ng8vHl3911njLCd1v,"{""id"": ""evt_3SoAct2Ng8vHl3911njLCd1v"", ""data"": {""object"": {""id"": ""ch_3SoAct2Ng8vHl39112VKwUqc"", ""paid"": true, ""order"": null, ""amount"": 100, ""object"": ""charge"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768084039, ""dispute"": ""du_1SoAcv2Ng8vHl391OixaN6CM"", ""invoice"": null, ""outcome"": {""type"": ""authorized"", ""reason"": null, ""risk_level"": ""normal"", ""risk_score"": 30, ""advice_code"": null, ""network_status"": ""approved_by_network"", ""seller_message"": ""Payment complete."", ""network_advice_code"": null, ""network_decline_code"": null}, ""captured"": true, ""currency"": ""usd"", ""customer"": null, ""disputed"": true, ""livemode"": false, ""metadata"": {}, ""refunded"": false, ""shipping"": null, ""application"": null, ""description"": ""(created by Stripe CLI)"", ""destination"": null, ""receipt_url"": ""https://pay.stripe.com/receipts/payment/CAcaFwoVYWNjdF8xT3ZxNzMyTmc4dkhsMzkxKMqki8sGMgZLuWi-9546LBZA4tNBH2HOE_0QsJnwxNHxfOgefHzfbYwrZCA1KSWBmMIK3AtF2Lkb7CTc"", ""failure_code"": null, ""on_behalf_of"": null, ""fraud_details"": {}, ""radar_options"": {}, ""receipt_email"": null, ""transfer_data"": null, ""payment_intent"": ""pi_3SoAct2Ng8vHl3911Y1nfCSt"", ""payment_method"": ""pm_1SoAct2Ng8vHl391spL7aAok"", ""receipt_number"": null, ""transfer_group"": null, ""amount_captured"": 100, ""amount_refunded"": 0, ""application_fee"": null, ""billing_details"": {""name"": null, ""email"": null, ""phone"": null, ""tax_id"": null, ""address"": {""city"": null, ""line1"": null, ""line2"": null, ""state"": null, ""country"": null, ""postal_code"": null}}, ""failure_message"": null, ""source_transfer"": null, ""balance_transaction"": ""txn_3SoAct2Ng8vHl3911GbfXCU6"", ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_details"": {""card"": {""brand"": ""visa"", ""last4"": ""1976"", ""checks"": {""cvc_check"": ""pass"", ""address_line1_check"": null, ""address_postal_code_check"": null}, ""wallet"": null, ""country"": ""US"", ""funding"": ""credit"", ""mandate"": null, ""network"": ""visa"", ""exp_year"": 2027, ""exp_month"": 1, ""fingerprint"": ""BSmPSc3Ge1S12uZV"", ""overcapture"": {""status"": ""unavailable"", ""maximum_amount_capturable"": 100}, ""installments"": null, ""multicapture"": {""status"": ""unavailable""}, ""network_token"": {""used"": false}, ""three_d_secure"": null, ""regulated_status"": ""unregulated"", ""amount_authorized"": 100, ""authorization_code"": ""118827"", ""extended_authorization"": {""status"": ""disabled""}, ""network_transaction_id"": ""668310980839951"", ""incremental_authorization"": {""status"": ""unavailable""}}, ""type"": ""card""}, ""failure_balance_transaction"": null, ""statement_descriptor_suffix"": null, ""calculated_statement_descriptor"": ""PAUL YARL""}}, ""type"": ""charge.succeeded"", ""object"": ""event"", ""created"": 1768084039, ""request"": {""id"": ""req_geao9aPn4A6YFL"", ""idempotency_key"": ""55c72126-11fa-42ba-a783-111b9b695e40""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:27:21.934,2026-01-10 22:27:22.319
wh_1768084066032_naoenqrk3,charge.succeeded,evt_3SoAdJ2Ng8vHl39101gOUrML,"{""id"": ""evt_3SoAdJ2Ng8vHl39101gOUrML"", ""data"": {""object"": {""id"": ""ch_3SoAdJ2Ng8vHl3910HzKRTfz"", ""paid"": true, ""order"": null, ""amount"": 100, ""object"": ""charge"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768084065, ""dispute"": null, ""invoice"": null, ""outcome"": {""type"": ""authorized"", ""reason"": null, ""risk_level"": ""normal"", ""risk_score"": 3, ""advice_code"": null, ""network_status"": ""approved_by_network"", ""seller_message"": ""Payment complete."", ""network_advice_code"": null, ""network_decline_code"": null}, ""captured"": true, ""currency"": ""usd"", ""customer"": null, ""disputed"": false, ""livemode"": false, ""metadata"": {}, ""refunded"": false, ""shipping"": null, ""application"": null, ""description"": ""(created by Stripe CLI)"", ""destination"": null, ""receipt_url"": ""https://pay.stripe.com/receipts/payment/CAcaFwoVYWNjdF8xT3ZxNzMyTmc4dkhsMzkxKOKki8sGMgZ1N5Y5wNA6LBZT7zWsVCzxYGpcHcOMt9iKbZp-Ml0E18PmbATDQr4RbhT7zkbbA3a8bAxw"", ""failure_code"": null, ""on_behalf_of"": null, ""fraud_details"": {}, ""radar_options"": {}, ""receipt_email"": null, ""transfer_data"": null, ""payment_intent"": ""pi_3SoAdJ2Ng8vHl3910j14taT5"", ""payment_method"": ""pm_1SoAdJ2Ng8vHl391C2gIF0Jl"", ""receipt_number"": null, ""transfer_group"": null, ""amount_captured"": 100, ""amount_refunded"": 0, ""application_fee"": null, ""billing_details"": {""name"": null, ""email"": null, ""phone"": null, ""tax_id"": null, ""address"": {""city"": null, ""line1"": null, ""line2"": null, ""state"": null, ""country"": null, ""postal_code"": null}}, ""failure_message"": null, ""source_transfer"": null, ""balance_transaction"": ""txn_3SoAdJ2Ng8vHl3910uJP2eJ6"", ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_details"": {""card"": {""brand"": ""visa"", ""last4"": ""4242"", ""checks"": {""cvc_check"": ""pass"", ""address_line1_check"": null, ""address_postal_code_check"": null}, ""wallet"": null, ""country"": ""US"", ""funding"": ""credit"", ""mandate"": null, ""network"": ""visa"", ""exp_year"": 2027, ""exp_month"": 1, ""fingerprint"": ""ThL3GbWL6soZmFaF"", ""overcapture"": {""status"": ""unavailable"", ""maximum_amount_capturable"": 100}, ""installments"": null, ""multicapture"": {""status"": ""unavailable""}, ""network_token"": {""used"": false}, ""three_d_secure"": null, ""regulated_status"": ""unregulated"", ""amount_authorized"": 100, ""authorization_code"": ""135709"", ""extended_authorization"": {""status"": ""disabled""}, ""network_transaction_id"": ""841047651719887"", ""incremental_authorization"": {""status"": ""unavailable""}}, ""type"": ""card""}, ""failure_balance_transaction"": null, ""statement_descriptor_suffix"": null, ""calculated_statement_descriptor"": ""PAUL YARL""}}, ""type"": ""charge.succeeded"", ""object"": ""event"", ""created"": 1768084066, ""request"": {""id"": ""req_qSyDnM5wz1nPJ2"", ""idempotency_key"": ""026b12ee-967e-4275-b0ca-33ac56d8a4b0""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:27:46.032,2026-01-10 22:27:46.427
wh_1768084067086_5t5rze5sd,charge.refunded,evt_3SoAdJ2Ng8vHl39107rT39s1,"{""id"": ""evt_3SoAdJ2Ng8vHl39107rT39s1"", ""data"": {""object"": {""id"": ""ch_3SoAdJ2Ng8vHl3910HzKRTfz"", ""paid"": true, ""order"": null, ""amount"": 100, ""object"": ""charge"", ""review"": null, ""source"": null, ""status"": ""succeeded"", ""created"": 1768084065, ""dispute"": null, ""invoice"": null, ""outcome"": {""type"": ""authorized"", ""reason"": null, ""risk_level"": ""normal"", ""risk_score"": 3, ""advice_code"": null, ""network_status"": ""approved_by_network"", ""seller_message"": ""Payment complete."", ""network_advice_code"": null, ""network_decline_code"": null}, ""captured"": true, ""currency"": ""usd"", ""customer"": null, ""disputed"": false, ""livemode"": false, ""metadata"": {}, ""refunded"": true, ""shipping"": null, ""application"": null, ""description"": ""(created by Stripe CLI)"", ""destination"": null, ""receipt_url"": ""https://pay.stripe.com/receipts/payment/CAcaFwoVYWNjdF8xT3ZxNzMyTmc4dkhsMzkxKOOki8sGMgbbtB1Kgm06LBZ-x1UlHipWZ21LLubiSI9zRNTPcS3zzzHhYgdb76ii53cL7PvKH0S2rQk1"", ""failure_code"": null, ""on_behalf_of"": null, ""fraud_details"": {}, ""radar_options"": {}, ""receipt_email"": null, ""transfer_data"": null, ""payment_intent"": ""pi_3SoAdJ2Ng8vHl3910j14taT5"", ""payment_method"": ""pm_1SoAdJ2Ng8vHl391C2gIF0Jl"", ""receipt_number"": null, ""transfer_group"": null, ""amount_captured"": 100, ""amount_refunded"": 100, ""application_fee"": null, ""billing_details"": {""name"": null, ""email"": null, ""phone"": null, ""tax_id"": null, ""address"": {""city"": null, ""line1"": null, ""line2"": null, ""state"": null, ""country"": null, ""postal_code"": null}}, ""failure_message"": null, ""source_transfer"": null, ""balance_transaction"": ""txn_3SoAdJ2Ng8vHl3910uJP2eJ6"", ""statement_descriptor"": null, ""application_fee_amount"": null, ""payment_method_details"": {""card"": {""brand"": ""visa"", ""last4"": ""4242"", ""checks"": {""cvc_check"": ""pass"", ""address_line1_check"": null, ""address_postal_code_check"": null}, ""wallet"": null, ""country"": ""US"", ""funding"": ""credit"", ""mandate"": null, ""network"": ""visa"", ""exp_year"": 2027, ""exp_month"": 1, ""fingerprint"": ""ThL3GbWL6soZmFaF"", ""overcapture"": {""status"": ""unavailable"", ""maximum_amount_capturable"": 100}, ""installments"": null, ""multicapture"": {""status"": ""unavailable""}, ""network_token"": {""used"": false}, ""three_d_secure"": null, ""regulated_status"": ""unregulated"", ""amount_authorized"": 100, ""authorization_code"": ""135709"", ""extended_authorization"": {""status"": ""disabled""}, ""network_transaction_id"": ""841047651719887"", ""incremental_authorization"": {""status"": ""unavailable""}}, ""type"": ""card""}, ""failure_balance_transaction"": null, ""statement_descriptor_suffix"": null, ""calculated_statement_descriptor"": ""PAUL YARL""}, ""previous_attributes"": {""refunded"": false, ""receipt_url"": ""https://pay.stripe.com/receipts/payment/CAcaFwoVYWNjdF8xT3ZxNzMyTmc4dkhsMzkxKOKki8sGMgYhasGKE086LBZuJJjCB8p-uWSpr8i94_B6pacInvc5SX1oY8RA7DbhP8wp8mcWVE_v9dnh"", ""amount_refunded"": 0}}, ""type"": ""charge.refunded"", ""object"": ""event"", ""created"": 1768084067, ""request"": {""id"": ""req_QdLmYQnihXUuNt"", ""idempotency_key"": ""f80c5d30-f369-4574-ba4d-e7f518cc3190""}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:27:47.086,2026-01-10 22:27:47.441
wh_1768084067440_brof8f49j,refund.updated,evt_3SoAdJ2Ng8vHl39104mH8UvJ,"{""id"": ""evt_3SoAdJ2Ng8vHl39104mH8UvJ"", ""data"": {""object"": {""id"": ""re_3SoAdJ2Ng8vHl3910kjxZxUh"", ""amount"": 100, ""charge"": ""ch_3SoAdJ2Ng8vHl3910HzKRTfz"", ""object"": ""refund"", ""reason"": null, ""status"": ""succeeded"", ""created"": 1768084066, ""currency"": ""usd"", ""metadata"": {}, ""payment_intent"": ""pi_3SoAdJ2Ng8vHl3910j14taT5"", ""receipt_number"": null, ""transfer_reversal"": null, ""balance_transaction"": ""txn_3SoAdJ2Ng8vHl3910kafZeYP"", ""destination_details"": {""card"": {""type"": ""refund"", ""reference"": ""6471591575961543"", ""reference_type"": ""acquirer_reference_number"", ""reference_status"": ""available""}, ""type"": ""card""}, ""source_transfer_reversal"": null}, ""previous_attributes"": {""destination_details"": {""card"": {""reference"": null, ""reference_status"": ""pending""}}}}, ""type"": ""refund.updated"", ""object"": ""event"", ""created"": 1768084068, ""request"": {""id"": null, ""idempotency_key"": null}, ""livemode"": false, ""api_version"": ""2023-10-16"", ""pending_webhooks"": 3}",t,,2026-01-10 22:27:47.44,2026-01-10 22:27:47.622
